id,comment,program,time
노란삐약이, 퀴즈퀴즈 빨리빨리,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
션, 싱크가 안ㅁㅏㅈ아여,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
뽀이뽀이, 갑자기 잘돼요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
정다정, 잘되요!,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
노란삐약이, 진작했어여 찜!!,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
노란삐약이, 캬,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
노란삐약이, 저 지난시간에도 샀어여!!!! pva 수용성 비닐재질 입니다!!,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
션, PVA 수용성 비닐!!!!우악!!!💚💚💚,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
뽀이뽀이, pva수용성비닐,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
정다정, PVA수용성 비밀,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
노란삐약이, ㅋㅋㅋㅋㅋ아싸리,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
뽀이뽀이, 우왕😍😍,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
노란삐약이, 2021120997919131 저 오늘도 구매했어여^^,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
순무, whgdkdyd,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
순무, 좋아용,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
노란삐약이, 네네 너무 조아서 또 샀어여,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
션, 오늘 영양제도 받고 비닐도 받고><,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
uliana, это че,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
psm, 댕싸네요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
shyoung, 좋네요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
ope, 굿,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
러블리여진, 헬렌닝 구매완료융😍,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
러블리여진, 화이팅💗,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
psm, 윽 쿨내,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
IWB, 안녕하세여,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
let, 구매인증이요.^^ 2021120998301451 한번 써보려고요.,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
ptcamagi, 안녕하세요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
hhu, 반갑습니다!,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
hhu, 관절 영양제 너무 좋을것같아요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
let," 사장님 제품에 대한 애정과 자신감이 너무 신뢰가요,,! 좋은 제품 만들어주셔서 감사해요. 제가 딱 찾던 것이에요.. 환경도 나도 좋은,,^^","""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055300
여시토끼, 물에 녹는 거 좋아요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055423
여시토끼, 완전 친한경,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055423
여시토끼, 좋은 상품 만들어주셔서 고맙습니다,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055423
muw, 펫싹앱 알겠습니다,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055444
muw, 친환경이라 정말 좋네요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055526
틴틴, 2021120998451021 구매완료! 써보고 또구매할게여!,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055526
마우, 완전 특가 방송,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055547
마우, 라이브가 좋아요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055547
마우, 상품도 좋고요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055547
muw, 좋은 상품 알게 돼서 좋네요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055608
yur, 가격좋아욥,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055628
jkh, 좋은 제품입니다,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055649
죠스바, 와와,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055731
죠스바, 좋아요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055731
yle, 에코 스오웅ㄱ,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055834
yle, 굿잡 ㅋㅎㅋ,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_055854
let, 사장님 다음시즌땐 응가넣고나서 화장실까지 갈때까지 걸수있는 걸이도 만들어주세용 ~^^,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_060018
부산엉클, 너무 좋은거 같습니다,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_060039
let, 수고많으셨어요~ 응원합니다!좋은 하루되세요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_060100
카페라떼, 잘봤어요,"""반려견과_동행""_이지풉백_배변봉투&로즈힙_관절영양제",2021-12-09_060100
