id,comment,program,time
영영, 우왕,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
캐시, 수고하셨어요,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
dnd, 수고하셨습니다,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
동백이, 잘봤어요,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
뚜잇츄, 덕분에 쌀 싸게 구입했어요~,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
삐용, ㅣk,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
wls0597, 굿,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
ph2267, 568000원은 뮌가요,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
빙고, 수고하셨습니다 😊,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
해바라기, 잘봤어요,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
zau, 수고하셨어요,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
swan, 팔도유람 좋아요,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
tot, 수고하셨습니다,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
tod, 수고하셨습니다,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
렛잇고, 잘봤어요~,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
Let It Be, 좋네요,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
카푸치노, 잘봤어요,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
kok, 가격 좋으면 품절,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
별이빛나는밤, 잘 봤어요,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
swan, 오늘 수고하셨어요~,2시_팔도유람_-_와이마트_나주농협_머드쌀,2021-12-09_055939
