id,comment,program,time
아행, 반갑습니다 :D.,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
룰루루, 굿,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
속삭이는용, 방송?,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
햇빛망울, 진동 소음이 어떤지 궁금하네요 ㅎㅎㅎ,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
비단향꽃무, 안녕하세요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
비단향꽃무, 좋아요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
몬스타7, 안녕하세요 잘볼게요~,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
살아야, 안녕하세요 잘볼게요~,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
금심이, 반가워요:D,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
천상재회, 반가워요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
천상재회, 잘볼께요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
초코초코하다, 쇼호스트님 몸짱이시네요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
yik0203, 좋네요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
듀리듀리듈, 반갑습닌다,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
놀라운홍방울새, 반갑습니다 ~~,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
dodo, 기대기대,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
첫눈이 펄펄, 안녕하세요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
귀한공작비둘기, 안녕하세요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
힘센팬더, 우와 안녕하세요~~~!,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
shop52, 우왕,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
귀여운중대백로, 🔥🔥🔥🔥,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
진주또리, 역대급 혜택이 너무 마음에 들어요..,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
탑리더, 좋아 보이네요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
진주또리, 오늘 잘 보겠습니다..,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
평화정밀, 좋네요 제품,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
YC, 안녕하세용,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
yki, 안녕하세요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
춤신춤왕코끼리거북, 테라건 완전 갖고싶어요ㅜ,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
히정, 오오,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
ymy, 오 신기하네요 첨봄,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
하늘하늘, 구성좋아용,♥테라건_역대급_할인_LIVE♥,2021-12-09_060308
BIT, 오,♥테라건_역대급_할인_LIVE♥,2021-12-09_060329
yur, 가격 좋네용,♥테라건_역대급_할인_LIVE♥,2021-12-09_060329
잼난고핀관앵무, 굿이네요~~~,♥테라건_역대급_할인_LIVE♥,2021-12-09_060329
검색하는닭새우, 오,♥테라건_역대급_할인_LIVE♥,2021-12-09_060329
낮도깨비, 안녕하세요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060329
하늘하늘, 대박,♥테라건_역대급_할인_LIVE♥,2021-12-09_060350
딜, 좋네요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060350
eun, 파격할인이네요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060350
jkh, 운동하고싶네요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060350
ke1, 안녕하세요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060350
푸디, 잛로게여,♥테라건_역대급_할인_LIVE♥,2021-12-09_060350
oy, 굿~,♥테라건_역대급_할인_LIVE♥,2021-12-09_060410
ymt, 가격 굿!!!,♥테라건_역대급_할인_LIVE♥,2021-12-09_060410
검색하는닭새우, 좋네,♥테라건_역대급_할인_LIVE♥,2021-12-09_060410
찰찰균, ㅎㅎ,♥테라건_역대급_할인_LIVE♥,2021-12-09_060410
뚱녀, ㅋㅋㅋ,♥테라건_역대급_할인_LIVE♥,2021-12-09_060410
뚱녀, 노노,♥테라건_역대급_할인_LIVE♥,2021-12-09_060429
뚱녀, 옪오,♥테라건_역대급_할인_LIVE♥,2021-12-09_060450
전화하는응애, 안녕핫[요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060450
akb, 반가워요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060511
sun, 마사지건좋네요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060531
루루, 반가워요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060531
아푸로, 안녕하세요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060531
아푸로, 탐나네요,♥테라건_역대급_할인_LIVE♥,2021-12-09_060531
