id,comment,program,time
배고파, 헉 맛있겠다,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070102
배고파, 막걸리에 먹고 싶어,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070102
배고파, 캬,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070102
꿀벌, 이거 저번에 구매하고,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070123
꿀벌, 존맛탱이라서 알림 해놨어요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070123
아이코야, 맛있어 보이네요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070123
꿀벌, 개맛 캬,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070140
paris, 크으,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070140
paris, 어묵탕!,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070140
츄츄츄, 와,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070158
배려, 우와,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070158
츄츄츄, 방가용 ㅎㅎㅎ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070158
요히, 겨울에 제맛,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070219
paris, 이 시간에 보니까 사야할거 같아,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070219
yki, 안녕하세요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070239
paris, 멀티어묵이네,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070239
레오나르도디카페인, 기다렸어요~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070300
a580818, 좋아요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070300
ke1, 안녕하세요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070300
콜라보, 오오,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070300
레오나르도디카페인, 볶음밥 까지 주다니요~~ 워~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070321
paris, 1봉지만 먹어볼까...,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070341
kis, 규ㅛ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070341
순무, ㅎㅎㅈ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070402
레오나르도디카페인, 끼니 거르지 않을게요~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070504
무민또리, 반갑습니다,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070524
무민또리, 잘보겠습니다,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070524
paris, 빨리 끓여주세욧 ㅜㅜ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070524
jki, 겨울엔 따뜻한 어묵탕 👍,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070545
paris, 먹방 구경하게 ㅠㅠ,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070545
쭈니, 좋아요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070545
paris, 되게 크다,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070606
레오나르도디카페인, 실물인가요~~ 무지 크네요~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070606
천냥, 안녕하세요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070626
꺼비는내친구, 안녕하세요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070626
천냥, 어묵탕 맛있겠어요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070626
꺼비는내친구, 잘볼께요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070647
렝, 우와 좋아요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070647
렝, 우와 대박 👍,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070647
레오나르도디카페인, 소스수량 까지 센스 짱~~,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070647
akb, 어믁탕 맛있어요,내가_끓인_어묵탕⭐_추운_겨울에_뜨끈하게~❤️,2021-12-09_070708
