id,comment,program,time
쮸, 안녕하세요~~,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070100
dls, 🖐🖐🖐🖐,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070121
paris, 우와,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070137
배려, 기대되요,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070217
쮸," 애기들이 젤요 좋아해서 젤요만 먹이는데, 라방 있다고 해서 들어왔어요",맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070258
dls, 크리스마스 선물같은 기업이다 좋다좋다,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070339
난나, 갬동~~,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070339
dls, 이햐,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070339
난나," 유기농인데 왜이렇게 싸요,,ㅠㅠ",맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070441
뚜루뚜뚜," 케이스도 귀엽네요ㅋㅋㅋ작고 소듕한 너낌,,",맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070543
dls, 👏👏👏👏👏👏,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070624
nhj, 하이요~,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070645
dls, ㅋㅋㅋㅋㅋㅋ,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070706
dls, 오 완전 혜자다아,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070726
바할, 맛있어보여요,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070726
lee, 기대해요,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070747
dls, 😁😁😁😁😁😁😁😁😁,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070747
dls, 먹어바바요오오오,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070807
이진경, 꺄옥ㄱㄱㄱㄱㄷ 기다렷음 고구메 사과 유자 시키꼬임,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070849
뚜루뚜뚜," 뭐야뭐야 색 조녜,,",맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070910
dls, 아 오후되면 간식땡기는데 유기농에다 건강한재료니 느므느므 사고싶네에,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070910
뚜루뚜뚜," 겨울엔 아이스크림인데,,사까,,",맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_070930
dls, 오 이햐,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_071012
dls, 대박,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_071012
dls, 13프로면 진짜 마니 들어간건데,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_071012
vtn, 성분이 다르나요?,맛있는_젤라또_아이스크림_[젤요]_건강한_국내산_농산물,2021-12-09_071032
