id,comment,program,time
설핏, 오랜만입니다^^,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
노브레끼, 어마 살이 왜이래 많이 빠졋어요!,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
노브레끼, 누가 고생시킨겨!,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
설핏, 그림인가요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
설핏, 사과가 그림같네요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
노브레끼, 광이난다 광이나!,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
설핏, 저도당도재는방송은 첨보네요 ㅋㅋ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
설핏, 당도물어보면 몇인지만 말해주던데 여기는 실시간으로 재주는 ^^,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
서놔맘, 시나노골드 너무좋아하는데ㅠ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
서놔맘, ㅠㅠ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
갤럭시, 안녕하세요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
설핏, 사과 당도는 작은게 더높나요??,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
설핏, 두구두구,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
설핏, 솔직한방송좋네요 ㅎㅎ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
SPRING, 실온보관하면 얼마 못 가겠죠?ㅠㅜ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060103
아푸로, 안녕하세요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060855
아푸로, 탐나게 생겻어요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060855
qkqhaldhr, 한입으로 두박스 주문완료,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_060937
qkqhaldhr, ㅋㅋ한번에 먹긴 작은게 편한듯용,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061018
qkqhaldhr, 신랑도 좋아하는 한입 싸이즈~~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061141
qkqhaldhr, 할인도받고 조으네용~~^^,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061304
qkqhaldhr, 넵~~~^^,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061407
qkqhaldhr, 빨리먹고시퍼여~~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061530
qkqhaldhr, 맛난사과!!,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061551
qkqhaldhr, 오~~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061653
qkqhaldhr, 13도 달져~~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061714
qkqhaldhr, 믿고 기다리겠어요~~ㅎ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061756
바할, 좋네요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061817
lee, 맛있겠어요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061817
qkqhaldhr, 아삭 사각~~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061837
qkqhaldhr, 먹고싶당~~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_061919
qkqhaldhr, 오~~과즙짱,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_062042
qkqhaldhr, 출근할때 글케먹을꺼예요~~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_062124
qkqhaldhr, 숨차시겠어용~~ㅎ 사과 한입드시죠^^,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_062636
qkqhaldhr, 아삭  달달~~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_062739
Scott, 반갑습니다,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_062820
Scott, 경북안동사과인가요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_062841
Scott, 무배가요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_062944
Scott, 부사보여주세요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063026
Scott, 사과.딱딱하나요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063026
설핏, 사과가 시작부터 끝까지 진짜 빤딱거리네요 ㅎㅎ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063047
Scott, 사과보관법,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063126
Scott, 이벤트하나요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063126
설핏, 헐 사이다가 10브릭스라니 ㅋㅋ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063147
Scott, 이벤트.하나요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063249
qkqhaldhr, 또숨넘어가신다~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063433
qkqhaldhr, ㅋ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063433
qkqhaldhr, 수고하셨어요~~,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063433
Scott, 부사2kg구매합니다,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063433
Scott, 몇시까지하나요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063536
Scott, 내일라방하나요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063536
Scott, 택배사,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063659
Scott, cj,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063659
Scott, 인가요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063659
Scott, 소영님.감사합니다,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063801
Scott, 수고하셨습니다,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063801
Scott, 수고하셨습니다,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063822
Scott, 오늘하루수고하셨습니다,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063842
설핏, ㅋㅋㅋ닉네임이 어렵네요ㅋㅋ,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063924
qkqhaldhr, 오예,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_063945
Scott, 감사합니다,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_064005
설핏, 오예,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_064005
qkqhaldhr, 감사합니다,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_064005
Scott, 닉네임톡톡하면된나요,아삭아삭_달콤한_겨울_부사_수다_라방,2021-12-09_064026
