id,comment,program,time
배려, 대박,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070204
최반장, 와~~~~장스타다!!!!,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070204
최반장, ㅋㅋㅋㅋ,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070327
ilkown kim, 와 정회징님~~~~~~~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070327
nhj, 방가요~~~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070347
ilkown kim, 정회장님~~~~~~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070347
rla, 방가요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070510
rla, 여기서 사면 싸나요?,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070510
rla, 장스타네,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070531
최반장, 저거 먹으면 장스타처럼 강력크 해지나요? ㅎ,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070612
제이비즈, 오 현미떡볶이,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070632
천냥, 안녕하세요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070653
천냥, 상품 다양하네요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070653
최반장, ㅋㅋㅋㅋㅋ,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070653
바할, 반가워요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070714
lee, 반가워요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070714
최반장, 오~ 떡볶이 사야겠다!,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070857
진주또리, 와~ 좋은 상품 많이 있네요..,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070918
진주또리, 반갑습니다. 잘 볼께요.,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070938
hye, 굿,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_070938
아푸로, 반가워요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_071040
아푸로, 맛있겟어요~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_071040
최반장, 오~치즈 지난번에 구입해서 먹었는데 진짜 맛있더라구요!!,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_071306
jyu, 반갑습니다!!,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_071937
jyu, hi~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_071937
rla, 장스타님 훈남이시네,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_072019
뽀르뽀르, 좋아요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_072203
포도킬러, 맛있겠어요~~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_072408
코카펩시, 맛있겠다,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_072408
코크매냐," 와, 이건 취저!!",장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_072429
코크매냐," 미녀 미남께서 방송하시니 훈훈하고 다 좋아보이고, 몽땅사고싶어요^^",장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_072738
rla, 1,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_073005
코카펩시, 너무 재미나게 진행하시네요 ㅎ,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_073108
rla, 공유는 공룡얼굴 선두주자,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_073129
포도킬러, 꼼꼼하게 설명 너무 잘 하시네요~~♥♥,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_073603
포도킬러, 밝은 표정 너무 좋아요~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_073646
포도킬러, 최고 최고!!!,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_073833
낮도깨비, 안녕하세요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_074946
songglass, 제품이 다양하네요~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_075050
songglass, 좋은 제품 많네요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_075111
violetgreen, 안녕하세요 제품 많네요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_075501
은물결, 다양하네요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_075624
첫눈이 펄펄, 안녕하세요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_080234
nhj, 방가요~~~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_080255
코크매냐, 고만좀먹어요ㅠㅠ,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_080316
코카펩시, 너무 캐미가 좋네요~,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_080357
쿠요빵, 안녕하세요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_080606
잘하자, 좋아요,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_080750
포도킬러," 사과주스 주문 했어요 너무 맛있게 드셔서,..ㅋ 구매버튼을 안누를 수가 없네요^^",장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_080934
포도킬러, 오늘은 선물 안주시나요?ㅋ,장기영과_전북바이오융합이_쏜다_in수원메가쇼,2021-12-09_081035
