id,comment,program,time
맘마미아, 저는 유선으로 쓰고있는데 충전이 됐다안됐다 짜증나가디구 무선 고려하구있거듴ㅇㅛ,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 충전이 제대로 안돠서 네비게이션 보다가 폰 꺼져가지고,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 길 잘못든적 많아요,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 😭,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
jusarang0415, 아이폰 미니도 고정이 될까요?,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
웃을꺼얍, 다른건 혼서 열렸다 다쳤다하던데 예민하다고 하시니 그러는거 아닌가 걱정됩니다,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
미꼬, 어떻게 차에 붙여요?,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
리스톤즈, 거치 어떻게하는게있는지 궁금하네요,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 전 송풍구가 가장 편하더라구요,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
리스톤즈, 네 지금 잘들었어요,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
리스톤즈, 지금구매합니당,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, ㅋㅋㅋㅋㅋㅋㅋㅋ,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 그 것도 양보 못하면 쓰면 안되죠,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
리스톤즈, 3번째요ㅋㅋ,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 오 리스톤즈님 세번째 구매에요?,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
리스톤즈, 아니여 3번째껄로해서 사용할꺼에요,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 전 송풍구 ㅎㅎㅎ,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
리스톤즈, 전붙이는거ㅎㅎ,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 다양해서 좋긴 하네요 ㅋㅋㅋ,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 근데 저 앞에 있는건 뭐예요?,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 갈색,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
맘마미아, 힄색 검정색,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
리스톤즈, 구매완료요~~,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
리스톤즈, 감사합니다!!,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
웃을꺼얍, 노트울트라20도 되지요~?,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
웃을꺼얍," 가정용, 차량용 구매완료요~^^❤",🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
웃을꺼얍, ㅋㅋ네~~블랙이요~저는 욕심쟁이~~!!^____^❤,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
웃을꺼얍, 👍👍👍👍👍,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
세비야, 차량에서 편하겠어요,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
ptcamagi, 아ㄴ녕하세요,🚗내차에는_좋은것만_쓴다!_셀론_차량용_무선충전거치대,2021-12-09_055258
