id,comment,program,time,love,play
지구, 2021121265832291 우와!!!! 주문했어요!!!!!! 감사합니다,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
하루우, 신의손들만가능,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
무곡수, 철저하게 우롱하네 아주,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
lovemoo, 바로눌렀는데결재에서 왜막히나요,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
kangkirhong, 불멍이 뭐라고 잘때 편하게 자는게 ㅡㅡ,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
페퍼민트, 2021121265831931구매인증이요~,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
tip, 2021121265831511 주문 성공했습니다~! 연로하신 부모님 모시고 즐거운 동계캠핑 할 수 있어서 너무 기쁘네요~! 감사합니다~!!,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
gro, 포기할랍니다 이건 고객 능멸,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
팽, 판매종료저는 풀리도 안했음ㅡㅡ,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
sujiqueen85, 2021121265831831구매인증,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
사랑해, 2021121025008831 구매인증 29 주문 성공 어제 벌써 도착했어요 친정엄마랑캠핑갈려고했는데 엄마가갑자기치매오는바람에 약먹고 괜찮아지면 엄마랑 좋은추억시간보내고싶어요,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
rjavm79, 29 물량좀 늘려주세요!!!!!,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
대일밴드, 근데...39만9천원이 결제 되는데 맞나요??,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
랑사이웅, 구매인증이요 ~^^ 출산전 마지막 동계캠프 가려고 질렀어요 ~ 2021121265169141,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
대일밴드, 2만원 쿠폰은 안된건지?,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
독거머리 김해, 구매인증 20211121265832811 이예요 증말 오래기다렸네요,(12_12)_파세코_캠프시리즈_라이브,2021-12-12_115933,"9,648","6,259"
