id,comment,program,time,love,play
쉼표, 은은하게 광택이 나는 실버,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
에슥파, 오늘 라이브 할인 혜택 너무 좋네요!!,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
용용죽겠지, 디자인도 이뻐요,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
용용죽겠지, 고급스러워요,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
나야나, 믿고보는 에코체 방송,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
용용죽겠지, 소음걱정노우,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
김윤규, 도자기색 이쁘네요,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
용용죽겠지, 냉새걱덩노우,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
ryuns, 오늘 라이브 할인 혜택 너무 좋네요!!,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
Rachel, 이사한지 일주일 되었는데 에코체만 들어오면 인테리어완성입니다 ㅋㅋ,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
용용죽겠지, 돌리고나면 양도 팍팍줄어요,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
용용죽겠지, 가루로 변신,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
아빠의자리, 고추가루 같네요,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
쉼표, 냄새 노 소음 노,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
용용죽겠지, 애기도 안깨요,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
Rachel, 고민하다가 스**카* 와 에코체중 에코체로 선택했습니다,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
쉼표, 중간에 추가할수 있는게 좋아요,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
용용죽겠지, 저녁에 잘때 돌리고 자면되요,(모두라이브)_12월_에코체&주방가전_특가_라방!,2021-12-12_120518,"16,657","24,553"
