id,comment,program,time,love,play
꼬마하마, 와우,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110204,171,"7,948"
꼬마하마, 안녕하세요,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110204,171,"7,948"
꼬마하마, 와 멋지다,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110247,392,"7,970"
jyu, 반갑습니다!!,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110308,457,"7,984"
jyu, hi~,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110308,457,"7,984"
꼬마하마, 블링블링,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110329,549,"8,000"
아메리카노, 안녕하세열,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110349,670,"8,011"
찹찹찹, 와우,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110453,"1,015","8,052"
마라탕, 안녕하세요!!!,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110556,"1,132","8,088"
마라탕, 오늘은 금을 팔,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110556,"1,132","8,088"
마라탕, 파시네요,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110617,"1,155","8,101"
찹찹찹, 주얼리방송,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110617,"1,155","8,101"
마라탕, 예쁘당,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110617,"1,155","8,101"
ptcamagi, 안녕세요,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110639,"1,254","8,117"
아메리카노, 팔지 특이하넹,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110700,"1,428","8,134"
마라탕, 오늘 순금도 제품도 있나요?.?,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110721,"1,669","8,139"
꼬마하마, 물방울 다이야,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110721,"1,669","8,139"
아메리카노, 아 오늘제품 금인가요??,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110742,"1,816","8,148"
마라탕, 아하 그렇군요,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110803,"1,899","8,163"
마라탕, 지반 케이스 넘 고급지다,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110803,"1,899","8,163"
마라탕, 오,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110825,"2,000","8,176"
마라탕, 지금 착용하신 게 지반 제품인가요?,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110846,"2,059","8,184"
찹찹찹, 예뻐요안녕하세요,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110846,"2,059","8,184"
마라탕, 감사합니다,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110929,"2,156","8,197"
마라탕, 헐 마스크줄이에요??????????????????????,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110950,"2,168","8,213"
아메리카노, 실버 금 혼합인가여??,2021_디지털패션문화페스티벌-디파컬특가,2021-12-12_110950,"2,168","8,213"
