id,comment,program,time,love,play
짱이, 소리 핑크 그레이 ㅋㅋ,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
열심교육, 지금 입고ㅇ계신바지 이름이 뭐예요?,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
치토스, 진청m안들어오나요,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
포레, 짱이님 그럼 어떤 하의든 다 사세요.ㅎㅎ,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
아우라, 조커밴딩팬츠 입어봐주세용,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
짱이, ㅎㅎㅎ 빅가오리 만능이죠,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
gina, 밑단롤니트 바지 열심교육님~~,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
열심교육, 네 감사합니다,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
gina, 아,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
mylifesn, 밑단롤니트 아닌데 아직 안올린 세트,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
gina, 아니네요.죄송,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
gina, 세트 특가상품인거 같아요.,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
mylifesn, 톡으로 선주문하래요,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
짱이, 저도 저거 막입고 다녀요 후드 있어 넘 좋아요 휘뚜루 마뚜루,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
gina, 방송후에 올리신다고,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
포레," 저 바진 상하의 세트 바진데.,아직 상품창에 없는거 같아요",8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
gina, 그레이 검정 베이지 세가지 색상,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
골프여신, 다얼마라했져?,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
mylifesn, 4만8천,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
골프여신, 밍크,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
골프여신, 가격,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
짱이, 49,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
포레, 49만원,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
뽀양, 밍크 49만요~,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
mylifesn, 49만,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
골프여신, ㅇㅋ,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
짱이, 언니 핑크??,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
짱이, 드뎌 핑크??,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
포레, 뉴컬러,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
열심교육, 바지 그레이랑 베이지는 없나요?ㅜ,8_romy의_쇼핑라이브,2021-12-12_145703,"3,757","1,588"
포레, 밑단 롤 마카롱 팬츠에 있어요,8_romy의_쇼핑라이브,2021-12-12_145744,"3,757","1,593"
골프여신, 노핑크,8_romy의_쇼핑라이브,2021-12-12_145805,"3,758","1,595"
골프여신, 🤣🤣🤣🤣,8_romy의_쇼핑라이브,2021-12-12_145805,"3,758","1,595"
gina, 수고하셨어요.~~😘😘😘,8_romy의_쇼핑라이브,2021-12-12_145908,"3,758","1,606"
mylifesn, 수고하셨어요 🖐🖐,8_romy의_쇼핑라이브,2021-12-12_145908,"3,758","1,606"
수현 SH, 저 졸았다능 ㅜㅜ,8_romy의_쇼핑라이브,2021-12-12_145908,"3,758","1,606"
좋은이모, 수고하셨습니다,8_romy의_쇼핑라이브,2021-12-12_145908,"3,758","1,606"
좋은이모, 👋👋👋👋👋👋👋👋👋👋,8_romy의_쇼핑라이브,2021-12-12_145908,"3,758","1,606"
뽀양, 고생하셨어요,8_romy의_쇼핑라이브,2021-12-12_145928,"3,758","1,614"
mym, 👋👋👋👋,8_romy의_쇼핑라이브,2021-12-12_145928,"3,758","1,614"
세희, 네넹 👋 👋 👋 👋 👋,8_romy의_쇼핑라이브,2021-12-12_145928,"3,758","1,614"
수현 SH, 수고했어요 🤗🤗🤗🤗,8_romy의_쇼핑라이브,2021-12-12_145928,"3,758","1,614"
포레, 뭐가 이리 금방 끝나,8_romy의_쇼핑라이브,2021-12-12_145928,"3,758","1,614"
뽀양, 🤗🤗🤗,8_romy의_쇼핑라이브,2021-12-12_145928,"3,758","1,614"
포레, 🖐🖐,8_romy의_쇼핑라이브,2021-12-12_145928,"3,758","1,614"
좋은이모, 👋👋👋👍,8_romy의_쇼핑라이브,2021-12-12_145949,"3,758","1,616"
