id,comment,program,time,love,play
보라구름, 유통기한이 얼마나 되는지용?,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
보라구름, 쌀베이글이여,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
라일라, 첫 구매했어요~,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
라일라, 맛있었으면 좋겠어요,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
라일라, 맛이 없을 수 없는 조합이네요,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
라일라, 감사합니다 👍,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
라일라, ㅎㅎㅎ 아드님 시험 덕분에 제가 베이글 맛을 보게 된거군요,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
jel, 치즈는 못사나요?,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
쏭쏭, 응원합니다,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
쏭쏭, ^^,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
쏭쏭, 엄지,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
라일라, 검지,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
유누유누, 검지,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
그린," 첨왔는데,순간 빅마마신줄알았어요",E글E글의_쇼핑라이브,2021-12-12_153108,347,933
라일라, ㅍㅎㅎㅎㅎㅎㅎ,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
라일라, 쫌 억울한데,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
라일라, 자야되는데 재밌어서 계속 보고 있어요. 엄지까지 듣고 잘게요,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
쏭쏭, 감사합니다,E글E글의_쇼핑라이브,2021-12-12_153108,347,933
pong, 크림치즈한종류인가요? 크림치즈 라인업 있나요?,E글E글의_쇼핑라이브,2021-12-12_153128,347,936
pong, 혹시 블루베리 크림치즈 백그람 이백그람씩 유리병어 넣어주실수 있나요?,E글E글의_쇼핑라이브,2021-12-12_153333,347,958
쏭쏭, 주문하고왔어용,E글E글의_쇼핑라이브,2021-12-12_153538,347,978
pong, 나중에 살구 크림치즈 라즈라즈크림치즈도 만들어주세요 크림치즈가 베이글에는 생명인데,E글E글의_쇼핑라이브,2021-12-12_153639,347,985
쏭쏭, 요리하는앤데,E글E글의_쇼핑라이브,2021-12-12_153700,347,986
pong, 라즈베리요,E글E글의_쇼핑라이브,2021-12-12_153720,347,989
쏭쏭, 루피요,E글E글의_쇼핑라이브,2021-12-12_153741,347,993
쏭쏭, 근데 어떻게먹어야맛있게먹나용,E글E글의_쇼핑라이브,2021-12-12_153902,347,"1,007"
쏭쏭, 전자렌지는용,E글E글의_쇼핑라이브,2021-12-12_154005,347,"1,022"
쏭쏭, 축하해요,E글E글의_쇼핑라이브,2021-12-12_154107,347,"1,041"
pong, 이태원에 유명한 코**베이글 자주갔는데 여기가 맛있어요,E글E글의_쇼핑라이브,2021-12-12_154128,347,"1,047"
pong, 사장님네꺼가맛잇어요,E글E글의_쇼핑라이브,2021-12-12_154149,347,"1,048"
pong, 코브랜드보다 사장님네 제품이 맛있어요.,E글E글의_쇼핑라이브,2021-12-12_154231,347,"1,058"
pong, 근데 여러 곳 베이글집 돌아다니는게 사업하는데는 도움되요   라인업도 보고 도움되요,E글E글의_쇼핑라이브,2021-12-12_154333,347,"1,066"
pong, 인스타도 많이 사진 올리세요 요즈음은 인스타 온라인 마케팅하는것도 판매에도움되요,E글E글의_쇼핑라이브,2021-12-12_154641,347,"1,106"
