id,comment,program,time,love,play
매니져, 79님  덴탈과 손소독제는 한세트만 발송됩니다,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
heeyaa, 15키로 5세아이는 어흥 쓰면 되나요?,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
sjjh79, 네네^^,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
sjjh79, 답변 감사드립니다.,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
매니져, heeyaa님 아이봄 초소형 추천 드립니다,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
서윤맘, kf94 는 아닌거죠?,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
매니져, 이비에 마스크는 독일 더마 테스트 엑설런트 kf94급의 필터 적용한 4중구조 KC인증 제품입니다.,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
YunaGANG, 12색상너무이쁘네여,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
매니져, 이비에 마스크는 귀끈까지 모두 컬러인증이 나오는 제품입니다,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
wow," 블루본,아이봄,이비에 소형 크기비교 부탁드립니다~~",KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
YunaGANG, ㅎㅎ중형이랑 대형 주문합니다 ~,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
sjjh79, 크리스마스크는 원뿔아니죠?,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
sjjh79, ㅎㅎ,KF94_마스크_에어데이즈&_1+1아에르_에티카_아이봄,2021-12-12_133440,"21,420","7,647"
