id,comment,program,time,love,play
강냉이, 제가 덩 울컥해서 같이 울었어요,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
똥꼬벨라, 몽시님 ㅋㅋ,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
내돈밤비, 우리집껄로 상상햇드만 속에서 불덩어리올라오네요,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
강냉이, 덩달아,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
몽시, 대표님... 그런거 지지,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
내돈밤비, 오옹 새로운코트당,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
영영, 이쁘네요,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
만월, 헐 이푸당,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
몽시, 남에편=하숙생,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
만월, 말도 새네 ㅋㅋ,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
꼬꼬샤넬, 밤비님 우리집꺼라니..꺄악 😂,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
수연마미, 이뽀요,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
몽시, 헐 코트당,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
강냉이, 진심으로 느껴지는 방송이라 응원합니다~~~!!!!,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
몽시, 역시 밤비님!!!!,[느와르블랑]_명품잠옷_발코니_블랑상륙❤,2021-12-12_154718,"21,352","2,225"
