id,comment,program,time,love,play
hj9, 2021121265244411,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
hj9, 구매했습니다2021121265244411,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
hj9, 매번할때마다 구매하는데 너무 좋아요,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
syi4416, 2021121265299151 사이즈비교해주시는거보고 컬러마스크라지로 추가구매 인증이요 😁😁,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
syi4416, 아이들 마스크가 이야기할때 내려오는건 커서 그런거군요ㅠ 작아서 그런건줄 알았어요ㅠ,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
syi4416, 콧대가  그렇게 없었나 했어요😅😅,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
찡찡짤순, 저 지금들어왔는데 초등고학년사이즈추천이요~💛,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
찡찡짤순, 🙏,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
hj9, 2021121265429231인심쓴김에 남편것도 급 구매합니다,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
찡찡짤순, 블랙이요~남자아이요🤭,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
오똘, 사이즈 조언 감사해요  구매했어요 엑스라지 소형에스  주문했어요  202112126545610,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
오똘, 지금 3세요,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
thd, 2021121265543651구매내역 구매했어요^^,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
thd, 이번이 3번째 주문입니다!,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
thd, 초2 여자 아이가 아이코코만 쓰려고 해요,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
thd, 소형m사이즈 잘 맞습니다^^,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
hj9, 야호 당첨이군요 감사감사합니다,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
찡찡짤순, 두세트샀어요~💛,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
hj9, 라이브할때마다 3.4셋트는 기본 사는것 같아요,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
눈맑은연어, 2021121265774611 남편이 써보고 좋다고 또 사라고성화라 좋은 기회에 구입해요 ㅎ,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
gimsis," 소형s 도 ㅠㅠ 퍼플색상 나오면 좋겠네요 🥲 둘째가 자기도 퍼플 하고싶다고,,,ㅠㅠ",[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
찡찡짤순, 2021121265736251,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
미나리, 방송 끝남건가요?,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
조아U, 끊어진거같아요,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
071, 지금 쓰신것도 퍼플 성인용 KF94??,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
눈맑은연어, 푸와 피글릿마스크 쓴 모습귀엽네욯,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
조아U, 남편과 부부동반모임에 퍼플마스크 같이하고나갔더니 마스크이뿌다고..,[라이브특가]_아이코코_KF94_소형_M_L_대형_특대,2021-12-12_120713,"4,088","2,723"
