id,comment,program,time,love,play
jyu, hi~,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
어렵고쉽당, 아하 해동안하고 그대로✍🏻✍🏻✍🏻,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
아롱이, 빨리 맛보고 싶어요🤤🤤,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
아롱이, 와사비 좋아하는데 회 정말 맛있겠네요,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
어렵고쉽당, 흔한 회 조금 지겨웠는데 참치랑 같은 듯 다르다고 하니 더 기대되요,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
어렵고쉽당, 아 마지막 또 못참는데🤤🤤🤤,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
jas, 메로회는 담백합니다,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
어렵고쉽당, 맞아요 저는 많이 못먹어요 참치뱃살,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
lhj4736, 메로회 곧품절..,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
lhj4736, 아 탕도 먹고싶네요,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
아롱이, 탕으로 먹으면 살이 보들보들 너무 맛있을 것 같아요 ㅠ,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
jas, 메로88 사이트에서 탕거리도팔던데요,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
ptcamagi, 맛있게ㅆ다 ㅇ,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
메로88, 메로88 사이트에 탕거리 용으로 매되고있습니다.,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
lhj4736, 메로회 구입하고 추가 탕으로 선택했어요^^,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
jas, 메로회드시고 다음날 화장이 달라집니다,[메로크리스마스🎄]국내최초_메로회와_완벽한_메로구이!,2021-12-12_110143,"22,738","7,455"
