id,comment,program,time,love,play
smy, 사이즈 어떻게 될까여? 위에 니트,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
냐옹, 진주 사이즈 어케될까요?,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
이와마녀, TV에 말 나오면 한마리 있었음 좋겠다 얘기하셨었네요,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
냐옹, 진주알이욧~^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
소망맘, 굵기요~^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
이와마녀, 돌아가신지 오래 되셨어요,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
소망맘, 진주목걸이두 찜이요~^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
소망맘, 판매되는거죠~?,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
지방사는 지방시, 보고싶으시겠어요 오늘... 말 얘기해서 ㅠ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
이와마녀, 맞아요 말 보면 아빠 생각나긴 해요^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
이와마녀, 그래서 전 좋은데요? 지방시님,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
소망맘, 기다리고 있을께요~^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
지방사는 지방시, 나도 못난이 진주 롱목걸이 있는데 그걸 잘라서 줄여야하나 ㅎㅎㅎ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
소망맘, 계속 구매 하려고 찾고 있었어요,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
지방사는 지방시, 다행이예요 이이와마녀님^^ 아빠 추억하시는 행복한 밤되시길 바래요^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
이와마녀, 네 고마워요 지방시님~,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
찐, 안녕하세요 모든 라방 찾아봤었어요,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
찐, 재밌어서요~^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
지방사는 지방시, 근데 고운자태님을 이와마녀님이라고 부르니까 적응안되요😆,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
힘찬맘, 사장님 안녕하세요 혹시 면접때 입을 외투나 겉옷 있을까요?,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
이와마녀, 다시 바꿔야겠어요 저도 적응안돼요,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
찐, 네^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
소망맘, 프릴빨간 니트랑 같이 구매했어요,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
힘찬맘, ^^ 아~ 지금 찾아볼께요 감사합니다~,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
소망맘, 진주목걸이랑 같이 하려구요,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
찐, 몇가지 구매하고 기다리는중이예요,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
찐, 가죽레깅스는 하루만에 왔어요ㅋ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
지방사는 지방시, ^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
힘찬맘, ^^ 네~~ 지금 찾아볼께요~~,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
찐, 예쁜옷이 많아도 고민이더라구요ㅋ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
지방사는 지방시, 지니님 주무시나?,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134432,538,"1,868"
찐, 장바구니에 담았다가 고민고민해도 결국 내가 잘입겠다 싶은거 다주문해놨어요ㅋ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134453,539,"1,884"
찐, 올겨울 옷장만은 모노타임에서 끝냈어요ㅋ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134514,539,"1,891"
지방사는 지방시, 저 오니까 사라지셨어요 ㅋㅋ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134533,539,"1,904"
지방사는 지방시, 두녀석 다 겜하고 있어요ㅎㅎ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134614,539,"1,922"
고운자태, 짜란~~~~~~! 다시 변경했어요,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134614,539,"1,922"
지방사는 지방시, 오늘은 주말이라 맘껏 노는 날이예요 ㅎㅎㅎ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134635,539,"1,928"
찐, 저는 딸램 둘 신랑이 데리고 들어갔어요ㅋ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134635,539,"1,928"
고운자태, 이제야 저 같아요 ㅎㅎ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134635,539,"1,928"
지방사는 지방시, 고운자태님 짜란~~,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134635,539,"1,928"
릴리, 저희는 두아들다자고 꿀갖은 자유시간이어용^^,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134717,539,"1,958"
왕싸가지, 안녕하세요 ~,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134738,539,"1,978"
왕싸가지, 저희집은 아빠가 게임을 합니다 ㅠㅠ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134758,539,"1,992"
믿쓰박즘장, 안녕하세요😁,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134758,539,"1,992"
rosa0502, 하이욤,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134819,540,"2,000"
지방사는 지방시, ㅎㅎㅎ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134819,540,"2,000"
고운자태, 저도 신랑 게임하는거 기다리면서 라방 시청중이예요  이시간에 아들들 게임하는거와 남편 게임하는거 뭐가 더 괜찮을까요?,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134840,540,"2,013"
수원쩡, 안녕하세요.ㅋ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134901,540,"2,025"
믿쓰박즘장, ㅎㅎㅎ미쓰 이고 싶은 남매 맘이여요 ㅎㅎ,[모노타임]_12_12_편안한_밤_입어보기_3부,2021-12-12_134901,540,"2,025"
