id,comment,program,time,love,play
정직지킴이, 고를게 많아 조아요,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
tjd, 아이바라니 ad 베이지 한번껴주세염,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
정직지킴이, 잘 나가는 마스크만 모아서 보여 주시고 가격도 좋네요~~,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
tjd, 감사합니다형님,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
소피아kiss, 아이바나리 베이지 이뿌네요,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
tjd, 형님 지금 쓰시는건,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
Because, 중형과 대형 비교해주세요~,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
tjd, 에티카맞죠?,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
tjd, ㄷㄷ너무이쁘네.마스크들,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
tjd, 얼떨껼에 클릭해서 왔는데 핸드폰비결제하고갑니다 ㅎㅎ,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
tjd, 형님덕에 ad. 94.80 기준 알고가서,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
tjd, 뜻깊었습니다,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
정직지킴이, 아이바나리 넘 예뻐서 구매했어요,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
정직지킴이, 검정 가족이 다같이 쓰기에 좋은거 추천부탁드려요,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
정직지킴이, 많이 쓰니까 아이바니리는 저만.ㅎ,kf94_80_아에르_에티카_에어데이즈_무배_파뤼~,2021-12-12_153804,325,659
