id,comment,program,time,love,play
zoc, 유익한시간,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
Jaeyeon, 수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
yos, 좋아보여요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
무화과하마, 라스페,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
불사조, 수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
akira5760, 잘보고가요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
오롯하게, 수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
모아 모아, 피토 알죠 알죠~~,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
cpk6187, 잘보고갑니다 수고하셨서요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
좋은날, 수고하셨어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
종이죽, 수고하셨어요~~~,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
Surreal, 방송 너무 좋았어요~~~!!!!,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
kww, 수고하셨어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
Let It Be, 좋네요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
총이, 수고 많으셨어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
무화과하마, 스킨수티컬즈,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
방울이언니, age,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
뽀잉뽀잉, ㅃㅇㅃㅇ,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
장승정보통신, 고생 많았어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
hjw4242, 선물하기랑 라이브스타 달달해요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
리티, 수고하셨어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
ckh, 잘보고 갑니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
무화과하마, 홀리데이,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
외로운 까마귀, 방송 잘봤습니다. 수고하셨습니다.,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
리티, 넘좋ㅇ았네요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
도롱도롱시, 수고하셨어요~,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
jin, 수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
워니스, 잘봤습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
오잉, 수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
oo, good 👍,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
afr, 다음에 또 봐요 잘보고갑니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
욤윰윰, 잘 봤어용,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
bac, 좋아요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
jin, 수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
버디 상우, 좋으네요수고하셨어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
조으다, 잘봤어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
펭수부인, ✋ ✋ ✋ ✋ ✋ ✋ ✋ ✋,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
은하수, 좋은제품 잘보고갑니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
bem, 넘좋아 보이네요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
둥글레, 방송 잘 보고 가요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
엔쵸, 시간 금방갔네요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
총이, 넘 좋았어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
bs0831, 수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
가스캣, 방송 잘봤습니당,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
곰세마리, 방송잘봤습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
hsj, 고생들많으셨어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
상처엔오라버니, 수고하셨습니다👏👏👏,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
bbi, 굿굿,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
유리조각, 수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
시니컬, 잘보고 가용,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
푸른하늘, 수고하셨어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
도롱도롱시, ㅂㅇㅂㅇ,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
hjw4242, 🥰,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
오예스, 좋아요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
riva, 라스페 잘봤어ㅛㅇ,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
roc, 고생요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
아아, 수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
bem, 좋아보여요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
퍼즐나무, 방송 잘봤습니당ㅎㅎ,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
이뿌니영, 잘보고가요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
V5, 방송끝나도 혜택 있군요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
무화과하마, 항산화듀오세트,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
천상백복, 안녕,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
oo, goodluck,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
dlaalrud34, 두분 넘수고하셨습니다,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
워니, 잘봤어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
시니컬, 고샹하셨어요,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
엔쵸, 담에 만나용,★라스페★스킨수티컬즈_홀리데이_항산화듀오_LIVE,2021-12-12_105702,"17,453","83,195"
