id,comment,program,time,love,play
명랑, 반가워요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
명랑, 알림설정하고 기다렸어요~♡,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
슈슈, 안녕하세요!!,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
hoy, 반가워요~~~,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
hoy, 키가 어떻게되시나용?,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
슈슈, 오늘도 혜택이랑 옷들 다 예쁘네여ㅜㅜ,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
이쁜이맘, 할인쿠폰 적용이 안되요?,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
이쁜이맘, 한꺼번에 여러벌 주문시에는 쿠폰이 안되네요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
이쁜이맘, 일일이 한날씩 주문해야하나봐요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
marlboromen, 반갑습니다...,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
OiMi, 방금 가디건 소재는 뭐예요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
hoy, 블라우스 네이비 66벌써 품절인건가요ㅜ,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
제제, 네이비체크도 입어주세요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
s_f, 핸드메이드 하프코트 소재 알려주세요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
별이빛나는, 하프캐시미어코트 지나갔나여?^^,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
니콜 키크드만, 안에 입은 이너티는 다 나갔나요?,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
Superbori, 부드럽나요?,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
Superbori, 네,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
Superbori, ok ok,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132116,213,"3,581"
감쟈깡, 후드 탈부착 되나요?!,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132136,214,"3,593"
Superbori, 이뻐서 다 잘 어울리는 것 같은데,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132218,214,"3,615"
s_f, 가벼워요?,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132218,214,"3,615"
별이빛나는, 귀여운 스타일이네용,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132218,214,"3,615"
초록연두, 섬유구성이 영모와 캐시로만 되어있나요?,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132300,214,"3,639"
초록연두, 섬유구성이 영모와 캐시로만 되어있나요?,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132300,214,"3,639"
초록연두, 이건 무조건 그냥 사야겠네요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132320,214,"3,652"
초록연두, 구매했어용~^^,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132341,214,"3,667"
하늘쟁이, 거기매니져님 짱친절하고 이쁘고 죠아요~옷도잘골라주고요~~~~여긴 방송도이쁜언니들만하더라고요~~~,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132402,214,"3,677"
별이빛나는, 다른색도 보여주세요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132421,214,"3,685"
lovecej02, 정사이즈만 가능하죠??ㅠ,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132442,214,"3,704"
s_f, 후드떼고 입어주세요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132442,214,"3,704"
별이빛나는, 오 멋스럽네용,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132442,214,"3,704"
lovecej02, 평소 오버핏 55,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132442,214,"3,704"
lovecej02, 정사이즈는 66,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132442,214,"3,704"
zkv, 심플하프캐시미어코트 구매했어요. 기다릴 수가 없어서요.,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132503,219,"3,716"
별이빛나는, 입고계신사이즈 55인가요??,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132503,219,"3,716"
kok, 와,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132503,219,"3,716"
SELLY, 지금 상품 혼용률 궁금합니다,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132544,219,"3,742"
zkv, 쿠폰 2번째는 안 되나요?,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132544,219,"3,742"
zkv, 쿠폰 또 주세요~~~,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132605,219,"3,750"
감쟈깡, 쇼호님 키가 어떻게 되세요~ 길어보여서요!,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132626,219,"3,762"
감쟈깡, 뒷모습도 보여주세요~~~,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132647,219,"3,770"
SELLY, 어머 진짜.. 예쁘네요~~~!,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132647,219,"3,770"
zkv, 감사합니다~~~^^,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132708,219,"3,776"
별이빛나는, 너무이뻐여 색상 고민ㅠ,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132708,219,"3,776"
gkd, 66없는데요ㅜㅜ,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132708,219,"3,776"
언제나, 66 없어요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132728,219,"3,791"
zkv, 너무 예쁘셔서 다 잘 어울려요. 매직,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132728,219,"3,791"
니콜 키크드만, 톡톡은 어캐보내요??,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132728,219,"3,791"
언제나, 안감도 보여주세요,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132851,219,"3,839"
별이빛나는, 👏👏👏👏👏,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132912,219,"3,850"
zkv, 쿠폰 자동으로 됩니다,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132954,220,"3,872"
zkv, 2번째 옷도~~~,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_132954,220,"3,872"
s_f, 소재궁금합니다,♥[올리브데올리브]87%_할인_라이브_특가♥,2021-12-12_133036,220,"3,902"
