id,comment,program,time,love,play
hig, 나이가 몇살이세요 ㅎ,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_120734,"2,712","2,662"
kok, 깔끔하고 예쁘네요,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_120734,"2,712","2,662"
kcy, 응,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_120939,"3,052","2,809"
kcy, 응,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_120939,"3,052","2,809"
kcy, 응,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_120939,"3,052","2,809"
kcy, 은는,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_121000,"3,126","2,842"
kcy, 는,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_121000,"3,126","2,842"
kcy, 응,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_121000,"3,126","2,842"
kcy, 듣,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_121000,"3,126","2,842"
kcy, ㄴ,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_121000,"3,126","2,842"
kcy, 은,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_121000,"3,126","2,842"
kcy, 는,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_121000,"3,126","2,842"
림토, 와,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_121247,"3,438","3,049"
dave, 와 좋네요 ㅎ,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_121328,"3,463","3,096"
Lym1004, 너무 여쁘고 다양한 요리가 되니 정말좋좋은제품이네요!!!,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_123131,"5,431","4,279"
재희맘, ㅎㅎ,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_125332,"8,292","5,808"
nak, 좋네요,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_130242,"9,208","6,351"
nak, 써보고파여,가장_이쁘고_인기_많은_보토_에어프라이어_초특가_판매,2021-12-12_130242,"9,208","6,351"
