id,comment,program,time,love,play
yoh, 매니져님이 입으셔서 그렇지 색상이 덩치 커보이진않을까요ㅠㅠ,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
찐찐, 요게 슬림벨티드 인가요?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
율오럽, 방금 들어왔는데 후드 롱원피스 블랙도 착용해봐 주실수 있나요?사이즈도 궁금해요,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
율오럽, 네네,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
찐찐, 카키색 넘 이뿌네요,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
sky, 트렌치벨티드 롱패딩은 안보여주시나요?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
찐찐, 퍼색감 무슨일,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
찐찐, 매님 xs입으신건가요?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
khy, 트렌치 롱패딩,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
heeee, 믹스 패턴 러블리 가디건﻿ 지나갔나요?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
미나리, 슬림핏 벨티드 패딩 지나갔나요? 카키색 착용 궁금해여!!,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
dbs, 무료반품되나요?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
yoo, 반사이즈는 업인가요?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
은냥_, 숏스트링 패딩은 안입어보시나여 ㅠ,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
쪼로롱, 핸드메이드 벨티드 숏코트는 없나요?ㅜㅜ,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
ror, 프린트 롱원피스 지나갔나요???,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
쥐똥이, 드디어 숏패딩나오네여 ㅠㅠ,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
쥐똥이, 넘기다럈어여 진짜이쁘다,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
쥐똥이, s사이즈 입으신건가용!?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
yoh, 지금 매니져님이 입고계신 러블리 퍼프니트 패딩이나 코트안에 입기 퍼프 팔 부분이 넓어서 불편하지않나요?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
내사랑다육, 가격 내린건가여?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
쪼로롱, 벨티드 숏코드요!!,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
찐찐, 요코트 넘이뻐요~ 꼭사세요~~,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
마미마미, 자수 플라워 롱원피스 보고 싶어요,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
쥐똥이, 숏패딩이랑 니트 같이 구매햇는데 보풀제거기 받을수 잇는걸까욤!?ㅎㅎ 휴대용이라 탐나네요,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
달콤상자, 와.. 한동안 못뵀는데 혼자 괜히 반가워요,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
수리, 사이즈는용?,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
달콤상자, 근데 두분 비주얼 무엇...!!옷도 예뻐요,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
달콤상자, 다시보기할게요ㅜㅜ,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
yw6, 터틀넥 구매했어영♡,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120607,"30,016","4,036"
yoh, 최지우 쑈호스트님ㅋㅋㅋㅋㅋ담에도 매니져님이랑 캐미 보여주러오세요!!!!!!,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120628,"30,234","4,053"
찐찐, 수고하셨어요~~~🤗,겨울_인기_아우터_최저가_방송_🧡,2021-12-12_120649,"30,279","4,066"
