id,comment,program,time,love,play
yuni, 안뇽하세요 첼로맘님 깨순이님~~~🤗🤗,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
진즉에빠졌지, 낼 신상나온다구요??,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
까칠동화, 아니요,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
진즉에빠졌지, 저두 스텔라사려는데,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
빛, 코난님 좋으시겠당~~^^,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
보뜰, 에고 외출했다 이제 왔네요!^^,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
진즉에빠졌지, 걍오늘사야겠네용,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
첼로맘, 좋지요,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
보뜰, 신상나오나요~~,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
kjq, 스텔라 강추에요~~👍👍,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
빛, 우리 내일 미니백 프리오더 해요ㅋㅋㅋ,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
깨순이, 낼 신상 말고 실용성 갑 폴린백 며칠 팍팍 밀죠,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
123, 네~~신상좋아요,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
보뜰, 스텔라 사심 되죠 진즉님?,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
진즉에빠졌지, 이틀걸러 조기사님뵐려구욬ㅋㅋㅋㅋㅋㅋ,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
지인찬맘, 보뜰님 다시 오셨군녀!!,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
까칠동화, 낼 티파니스팽글백 보고 폴린백이랑 같이 살꺼예용ㄹ,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
123, 미니미니,더엘라_사랑스런_미니백_~💕💕🎉,2021-12-12_122701,"7,756","3,022"
