id,comment,program,time,love,play
김신짱, ㅇ,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, ????? 로퍼 가격 잘못된거죠??? 아니 세상에,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 발볼이 좀 있는데 반사이즈 업해야할까요??,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 넵 정보 감사합니다,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 일단 저 사이즈 확보부터 하러 갑니다!!!,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, ㅠㅠ 사이즈가 없네요,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 너무 늦게 왔네요 이런,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 다 품절이네 흑흑,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
햇살맘, 안녕하세요,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 여러분 말씀들은 안하시고 먼저 구매부터 하신겁니까? 😭😭😭,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
스윗비, 오렌지색이 많이 쨍할까요?,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
스윗비, 딱 사이즈남았는데~ 색상이 오렌지만있어서 ㅡㅡ,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 오렌지는 좀 쨍해야 이쁘더라고요 저는,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
햇살맘, 말랑말랑 두번째도 보여주세요,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
스윗비, 구매완료~오렌지,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 발이 좀 잘 붓는 245인데 오렌지 250 그냥 가져올까요??,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
스윗비, 제가 250가져갑니다요,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 아 헐ㅋㅋㅋㅋㅋ 가져가심ㅋㅋㅋㅋㅋ,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 아놬ㅋㅋㅋㅋㅋㅋ,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 230이신줄알고 천하태평 있었음요 이런,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 어후 진짜,도도한_라라의_쇼핑라이브❤,2021-12-12_153641,129,665
코카콜라, 스윗비님 생각해보니까요 오렌지 굉장히 쨍할것 같아요 그러니 취소 하세요 앜ㅋㅋㅋㅋㅋㅋ,도도한_라라의_쇼핑라이브❤,2021-12-12_153723,129,674
스윗비," 저도 245이긴한대, 양말신고 신으려해서 우선 오렌지.' ㅋㅋ 쨍할것같지만 신어볼께욧 ㅎ",도도한_라라의_쇼핑라이브❤,2021-12-12_153743,129,679
코카콜라, 이쁘게,도도한_라라의_쇼핑라이브❤,2021-12-12_153743,129,679
스윗비, 취소는 뭔가용~~ㅎㅎ,도도한_라라의_쇼핑라이브❤,2021-12-12_153802,129,684
코카콜라, 신으세요!! ^_^,도도한_라라의_쇼핑라이브❤,2021-12-12_153802,129,684
코카콜라, 돈을 지불한게 아니라 돈 벌어가는 쇼핑인 것 같네요 오늘은~~,도도한_라라의_쇼핑라이브❤,2021-12-12_153925,199,706
코카콜라, 대표님 저는 이만 물러갑니다~ 다음기회 쟁취할게요! 강추위 건강 유의하세요!,도도한_라라의_쇼핑라이브❤,2021-12-12_154048,200,720
햇살맘, 말랑이 두번째 구매했어요 ~♡,도도한_라라의_쇼핑라이브❤,2021-12-12_154048,200,720
