id,comment,program,time,love,play
puring8, 마져요,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
jju, 르땡 프리사이즈 아니고 55 66으로 나오는데요?,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
세실, 네 저 있어여 가오리,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
윰, 저쪽에서는 뭐 맨날 가격 바뀌고 어느날은 1+1이고 ㅎㅎ,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
뀨미 ovo, 에구궁,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
세실, 가오리 운전할때 교복이에욤 ㅋㅋㅋㅋ,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
790, 그래요 타이밍이예요,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
뀨미 ovo, 오홍,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
강냉이, 저 가오리 또 89해야해요?ㅋㅋ,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
세실, 강냉이님 ㅋㅋㅋㅋㅋㅋㅋ,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
뀨미 ovo, 저는 더위를 너무타서 ㅠㅠ,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
Superbori, 소매는 원래 짧아요?,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
세실, 그니까 ㅋㅋㅋ,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
슈아벨, ...기븐 팍나쁨,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
연쇄할인마, 걍 타이밍이니까 사고 싶을 때 사서 잘 입으세욤,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
아기엔젤, 아오리 다른색도 보여주세용❤️,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
세실, 원래 다그럼 ㅋㅋ,라이브쥬샵2부_모피특가_쥬쥬놀러오세요,2021-12-12_133304,855,"2,122"
