id,comment,program,time,love,play
뚜잇뚜잇, 피부가 어쩜 저렇지,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
별별, 명품피부에요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
김녀울, 얼굴에 어쩜 모공하나 트러블 하나가 없나요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
김녀울, 얼굴에 보험드셔야겠어요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
주암주이, 1박스구매했어요 ^^,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
jju, 물톡스 1세트 구매햇는데 사은품 모에요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
hea, 물톡스필vs라시뎀 임플란트필 차이점은요??,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
민트, 용량도 괜찮네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
별별, 언니,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
사공이오, 고민되네 1박스 vs 2박스,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
별별, 1차팩으로 써두되나용??,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
베리베리스트로베리, 물톡스가 필링이에요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
jju, 배송메시지에 못썻는데 톡톡에 남겨도 되요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
뚜잇뚜잇, 고민될땐 두박스 ㅋㅋ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
베리베리스트로베리, 근데 진짜 피부 좋으시다,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
베리베리스트로베리, 장난아니시네,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
뚜잇뚜잇, 물톡스 한날엔 같이 주시는 필링토너 쓰는거 아니죠??,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
페가수스, 인스타 사진보다 피부가 훨씬 좋으시네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
뚜잇뚜잇, 많이 고민했었는데 언니 쓴거 보고 바로 구매용,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
one러브, 2박스 하면 10%할이 더 되서 저는 2박스로 구매했어요ㅛ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
울루굴루, 피부가 너무 좋은데 비결이 뭔가요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
꽈뚜룹, 예민한 피부인데 물톡스 써도 될까요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
야채스프, 상세페이지가 너무 잘되있어서 잘 따라할수 있을거 같에요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
민트, 우왕 가격 진짜 좋네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
무엇하랴, 1+1은 안 살수 없지,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
뚜잇뚜잇, 물톡스 사러왔는데… 또….. 살게 생기네요 흑흑,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
김비비, 이건 뭐에 좋은거에요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
뚜잇뚜잇, 물톡스앰플 먼저 쓰고 저 세럼? 쓰는거죠,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
hea, 포스트쿠엄 재생세럼만 있는데..수분세럼도 있었어야겠네..ㅎㅎ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
에메로드, 라클리어 구매했는데 이거 구매해서 10만원 채워도 쿠폰 주시나요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142342,"23,352","1,505"
크림새우밥, 1살 더 먹기 싫어 ~~~~~~~~~~~~~~~,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142443,"23,450","1,529"
민트, 엑토인이랑 효소클렌저 물톡스 다 구매했어요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142504,"23,560","1,535"
dmc, 셋트로 구매한게 좋은가여?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142504,"23,560","1,535"
민트, 궁합 괜찮겠죠,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142504,"23,560","1,535"
lsh, 르제 하이드로키트는 매일사용하나요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142525,"23,644","1,539"
뚜잇뚜잇, 진짜 물톡스다 물톡스,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142546,"23,651","1,545"
일기쓰는어제, 라클리어 구매하러 왔다가 너무 많이 주문하네 뭐지,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142546,"23,651","1,545"
뚜잇뚜잇, 진짜 피부 대박이에여,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142627,"23,771","1,563"
mylim610, 지금 바른게 뭐에요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142709,"23,791","1,572"
페가수스, 저도 오늘 라이브방송 처음 들어왔다가 완전 낭패네요 괜히 들어왔나봐 ㅜㅜ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142709,"23,791","1,572"
lsh, 금액대별사은품은랜덤인가요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142709,"23,791","1,572"
페가수스, 라이브로 보니깐 진짜 다 사게 되네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142730,"23,819","1,574"
민트, 저도요 ㅋㅋㅋㅋㅋ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142751,"23,930","1,577"
별다이아, 라방 뭔가 신기하네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142853,"23,989","1,592"
뚜잇뚜잇, ㅋㅋ 전 내용 꼼꼼하게 읽어요~~,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142853,"23,989","1,592"
별다이아, 라이브로 언니 피부 보니깐 진짜 안 살수가 없네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_142914,"23,990","1,601"
쉐리의향기, 방금 바른 크림이 뭔가요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143017,"24,050","1,613"
쉐리의향기, 바르자 마자 광이 확 나네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143017,"24,050","1,613"
kjs84, 강남 사모님 광이 흐르시네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143201,"24,170","1,629"
lsh," 트러블,여드름착색에효과있는제품은뭐예요?",라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143242,"24,307","1,643"
유지니, 진짜 욕심난다,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143303,"24,307","1,649"
툰다, 구매완료요!!,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143345,"24,307","1,654"
유지니, 2개 주문했다가 취소하고 다시 5개로 주문했어요 ~~,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143345,"24,307","1,654"
Sook, 🤗🤗언니 저왓어영 ㅎ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143427,"24,392","1,661"
qwe, 필로티카 엑시올 궁금해요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143427,"24,392","1,661"
29786354, 언니 피부 따라 살 수 있을까요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143427,"24,392","1,661"
Sook, 😍😍,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143427,"24,392","1,661"
성공레시피, 이모티콘은 어떻게 해요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143529,"24,548","1,672"
스윗차차, 얼굴이 꼭 뭐 코팅한거 같네,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143630,"24,740","1,679"
비투더, 엑시올 엑토인이랑 비교 부탁드려여!!,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143712,"24,803","1,687"
qwe, 얼굴 광나는게 너무 예뻐요 부러워요 ㅠ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143712,"24,803","1,687"
A7, 나도 언니 처럼 피부에서 광나고 싶다,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143733,"24,839","1,694"
다미, 물톡스는 한번만 해도 글케 광나는거애요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143815,"24,904","1,708"
비밀의사원, 물톡스는 1박스에 1달 관리면 매일 하는건가요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143836,"24,939","1,710"
Sook, 전 엑시올. 엑토인 다 쓰고있어염 ㅎ 엑시올은 세럼으로쓰는데 물광에 엑시올은 👍 엑토인은 제탈이 쓰고잇어염 ㅋ 트러블날때마다 자기방에 잇더라구요 ㅋ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143856,"24,939","1,716"
Sook, 딸,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143917,"24,939","1,717"
랄랄, 저 다 구매용 ㅋㅋ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143917,"24,939","1,717"
암즈히, 엑시올이랑 엑토인이랑 뭐가 더 광이 많이 날까요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143959,"25,015","1,724"
다미, 저도 트러블 있는데 엑토인 한번 써볼까요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_143959,"25,015","1,724"
핑크무지개, 궁금하다,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144119,"25,254","1,748"
랄랄, 확실히 광은 엑시올이네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144139,"25,280","1,753"
Sook, 엑토인은 ㅋㅋ 우리조카들도 쟁겨놓코 쓰고잇더라구 초등1학년인데 ㅋ 신기햇어요 ㅋ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144139,"25,280","1,753"
핑크무지개, 엑시올이 더 광 많이 나는거 같네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144200,"25,280","1,765"
Sook, 지금 또 눈띵하고있어여 ㅎ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144200,"25,280","1,765"
핑크무지개, 엑시올 구매해야겠네요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144200,"25,280","1,765"
qwe, 수부지 피부에 더 적합한게 뭐에요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144221,"25,288","1,772"
사랑니, 들어오자마자 효소클렘저 주문했네요 ㅎㅎ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144242,"25,291","1,776"
qwe, 액토인은 피부타입 상관없어요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144242,"25,291","1,776"
qwe, 두개 같이 발라도 되는거에요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144323,"25,291","1,793"
사랑니, 엑토인 임신전부터 현재 임신후기까지 쓰고 있는데 진짜…최고예요 나중에 애기낳고 신생아 한테도 쓸수 있다고 해서 쟁여두고 있어요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144323,"25,291","1,793"
다미, 대박 제친구 조리원 들어갈때 선물로 줘야겠어요!!!,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144426,"25,416","1,809"
파인베리, 예민한 피부인데 라클리어 써도 될까요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144446,"25,423","1,813"
다미, 라클리어도 임산부 사용가능해요??,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144507,"25,424","1,819"
다미, 엑토인이랑 라클리어 같이 주면 딱 좋은거같은데,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144507,"25,424","1,819"
dave, 와 좋네요 ㅎ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144528,"25,424","1,822"
chr, 마스크 쓰고 갑자기 두드러기 난적 있는데 엑토인 바르고 이틀안에 다 가라앉았어요~,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144549,"25,517","1,828"
qwe, 엔자임파우더 소개 좀 해주세요 늦게 들어와서 ㅠ,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144549,"25,517","1,828"
헤이데이, 피부트러블에 좋은게 엑토인인가요?,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144610,"25,551","1,839"
다미, 안그래도 선물 뭐줄까 고민중이었는데 넘 좋을것같아요!! 감사해요,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144651,"25,654","1,847"
페가수스, 엑시올까기 추가 구매완료 ^^,라클리어_효소클렌저_&_PHA_물톡스키트___엑토인,2021-12-12_144733,"25,694","1,864"
