id,comment,program,time,love,play
나기쁨, 네 감사합니다 ㅎㅎ 주문하고올게요오,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
rir, 브라운 목티 주문완료,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 안녕하세요ㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 왓어요ㅋㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
봄이, 170 바지길이 어떨까요?,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 슬렉스 언니지금입은거죠ㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
봄이, 입으신거요^^,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
rir, 170 이라니... 모델이시네용 ㅎㅎ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
봄이, 66이예요,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 크림장바구니에ㅋㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
나기쁨, 혹시 지금 입으신 목티 색상 브라운이에요 딥브라운이에요?,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
ell, 골덴 슬렉스 170에 57키로인데 사이즈 머하면좋을까요?,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
용용, 브이넥 미니원피스니트지나갔나요?,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
용용, 감사합니다!,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 지금입은바지가먼가요?해깔려요ㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 아하ㅋㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 넹ㅋㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 베이지색삭도한번보여주삼ㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 크림찜ㅋㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
캬항, 지금 입으신 팬츠 키 163cm인데 단화신고 입었을때 끌릴까요??,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
캬항, 오오 좋아요!! 착용 감사합니다! 주문할께요!!,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
찐쭈, 안녕하세요~ 아까 입으신 소프트 폴라요,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
찐쭈, 브라운이라고 하셨는데 딥브라운 아닌기요??,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
찐쭈, 사진으로는 딥브라운 색이랑 비슷해서요,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
용용, 라이브 끊긴건가요?,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
뽀니, 주문했어요ㅋㅋ,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
찐쭈, 네~^^ 잘 보고 주문하겠습니다 ~~,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
jiw, 베이직폴라티셔츠.  딥 브라운과 브라운 비교해주세요~~,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
jiw, 사진엔 브라운이 밝게  나온거예요 ?,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
jiw, 아,바이드레스살롱의_쇼핑라이브,2021-12-12_140827,518,"1,479"
나기쁨, 사쟝님 저 차르르 골덴 아이보리랑 블랙 구매했는데.. 키가 162인데 땅에 끌릴까요 ㅠㅠ? 제가 집에서 가위로 잘라도 안이상할까요..ㅠㅠ,바이드레스살롱의_쇼핑라이브,2021-12-12_141053,519,"1,514"
그냥나야, 폴라티셔츠가 여러가지인데.. 아이보리 컬러도 가장 비침이 덜한게 어떤건가요,바이드레스살롱의_쇼핑라이브,2021-12-12_141134,519,"1,525"
그냥나야, 소프트 폴라랑 롱이랑 길이 비교 부탁드려요,바이드레스살롱의_쇼핑라이브,2021-12-12_141236,526,"1,543"
그냥나야, 감사합니다 ^^,바이드레스살롱의_쇼핑라이브,2021-12-12_141441,529,"1,584"
rir, 오늘 색들이 아주 좋으네요^_^,바이드레스살롱의_쇼핑라이브,2021-12-12_141930,529,"1,712"
