id,comment,program,time,love,play
양희순, 오돌뼈 느낌일까요?,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
소명, 배고파아아아아,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
소명, ASMR,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
free, 닭다리 먹을때 연골나오는거랑 비슷한데 더 부드러워요,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
차카게살자, 뭐가 제일 맛있어욧? 소주말고,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
생각대로티, 안녕하세요,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
바람돌이, 안녕,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
바람돌이, 안녕하세요,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
양희순, 2021121267834451구매내역,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
양희순, 구매인증 갑니다ㅎ,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
하늘정원, 어느택배사로 배송되나요,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
양희순, 종류별로~ 구매완료!,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
양희순, 너무맛있어보여서 안살수가 없었습니다,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
양희순, 닭들오면 집에서 혼술 가야겠어요,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
차카게살자, 요즘 모이면 안댐,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
예린, ㅎㅇㅇ,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
차카게살자, 커플지옥 솔로천국,야식타임_:)_닭안주_맛집❗,2021-12-12_132423,661,"3,382"
