id,comment,program,time,love,play
거친쉰소리, 어떻게 주문하는지...,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
거친쉰소리, 내머리속에 지우개가 있나봐욧,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
거친쉰소리, 🤣🤣🤣🤣🤣🤣🤣,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
블랙스완, ㅎㅎㅎ,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
블랙스완, 어머 이쁘다 ㅎㅎ,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 오내꺼당~~,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 오~~ 브릴리즈님,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
블랙스완, 원피스중 이게 가장 긴가요?,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 등장 ♡♡♡,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 나짐입고있는뎅ㅋ 귀여워요,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 오블리님~~~~♡♡♡,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 다들  찾았어요,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 원피스중 앤원피스가젤길어요,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 안온다고,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 저를요?ㅋㅋ,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 그럼요!,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 전소주먹고있었어요크하하,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 술 자주 드시네 ㅋㅋㅋ,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 메밀전병구워서안주가있어서한잔빨고자려고,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 대표님이 기다리셨어요,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
읏짜읏짜, ㅋㅋㅋ 소주 좋죠. ㅎㅎ,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 2부~~~~~~~!!!!!,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 오늘일욜이라집에서,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 한자 빨고 ㅋㅋㅋ,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 한잔,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 한잔먹고용ㅠㅠ,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
거친쉰소리, 두구9999999999999999,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
까사블리, 술꾼들의 전문 용어?,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
거친쉰소리, 두구9999999999999999,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 언니짱따숩고 편해용,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
거친쉰소리, 한잔 뽈고 있다욧~,엘피다_라이브_방송_,2021-12-12_151342,413,"1,373"
브릴리즈, 고게젤이뽀,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
거친쉰소리, ㅎ,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
블랙스완, 전 미리 인사드릴께요~^^♡굿밤요~~^^🥰,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
프릴러브, 저 저번에 뽑혔는데 못봐서 꽝 됬는데..오늘은..??,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
까사블리, 그냥 흔들어요,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
파파스머프, 헉,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
거친쉰소리, 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
브릴리즈, 잘못 해써여ㅠ,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
ㅂlㅋl, 👏👏👏👏👏👏👏👏,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
파파스머프, 오예,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
블랙스완, 두구두구~~~~,엘피다_라이브_방송_,2021-12-12_151403,413,"1,376"
거친쉰소리, 파파님~👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,엘피다_라이브_방송_,2021-12-12_151424,413,"1,377"
최여사, ㅊㅋㅊㅋ,엘피다_라이브_방송_,2021-12-12_151424,413,"1,377"
