id,comment,program,time,love,play
seo, ㅎ저 맞아요?,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
seo, 헷갈렸는데 ㅎ,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
seo, 감사합니다^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
힝구, 상품 올라오나염,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
hon, 원피스위에 코트입어봐주실수있나요...^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
박미연, 자켓입어주세요~ ^^ 검정색이요^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
seo, 네,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
박미연, 입었을때 편하시죠? 좋아보여요^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
박미연, 그 위에 저 전주에 산 희색 패팅 같이 입어도 괜찮아요?,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
박미연, 흰색패팅이요^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
박미연, 네 감사합니다.^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
박미연, 점퍼 정말 이뻐요...강추^^ 전 흰색 샀는데 너무너무 데일리로 잘 입어요^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
seo, 패딩 이쁘네요,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
seo, 고민되네요ㅡㅠ,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
ㄴr은맘, 패딩은 진짜 이뻐서 사고싶네요,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
seo, 그러네요 ~^^끌레드윤님 코디를 너무 잘하시는거 같아요 옷이 다 매치가 잘되서 활용도가 높는게 젤 좋은거 같아요,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
seo, 옷 몇가지 구매해서 서로 다르게 매치가 되니 정말 좋은거 같아요,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
ㄴr은맘, 다른곳패딩도 봤는데 확실히 설명해주신거 듣고나니 다른곳은 비슷한데 안이쁜게 보이더라구요,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
hon, 끌레드윤에서 옷사서 옷코디는 라이브로 보고 입으니 친구들이 다들 옷 어디서 샀냐고 ㅎㅎㅎ,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
hon, 많이 보고 배워요😍😍😍,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
seo, 폴라티는  라이브에 판매안하시나요?,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
해피해피, 반달백,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
joy, 반달,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
해피해피, 네^^감사합니다~♡,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
hon, 신축성이 있나요?,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
뽀또리, 위에 코트한번 입어봐주세용^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
hon, 치마에 검은색후드티셔츠괜찮을까요?,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
hon, 네 감사합니다 ^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
몽쉘퉁퉁, 지금 입고 계신 핑크치마는 사이즈 몇까지 입을수있어요?,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
몽쉘퉁퉁, 네네 설명감사해요 상세사이즈도참고할께요,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
뽀또리, 30프로,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144024,"49,183","1,502"
seo, 코트3,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144045,"49,363","1,507"
seo, 30,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144045,"49,363","1,507"
난리부르스, 양물 완전 귀엽군요 ㅎㅎㅎ,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144045,"49,363","1,507"
난리부르스, 영말,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144045,"49,363","1,507"
쏭쏭, 30,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144045,"49,363","1,507"
난리부르스, 양말,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144045,"49,363","1,507"
seo, 오타에요 ㅎ,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144106,"49,543","1,513"
뽀또리, 귀여워요^^ㅎㅎ,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144206,"50,059","1,527"
hon, 축하해요^^,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144206,"50,059","1,527"
뽀또리, 넵~~ 감사합니다!,연말룩코디_20%특가_입어보기_◡̎,2021-12-12_144248,"50,419","1,537"
