id,comment,program,time,love,play
보라 보라 씨샵, ㅎㅎ,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
유파이브, 아까 다시보기 봤는데 털조끼 와우,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
취급주의, 수다삼매경으로 인하여 이러한 사태가!!,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
유파이브, 이순신 갑옷 같은 옷,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
패션테러, 지금 입은 옷 스타일링도 예쁘네요♡,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
보라 보라 씨샵, 사장님도 빨리가서 쉬어야죠~,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
취급주의, 이순신 갑옷ㅋㅋ,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
유파이브, 저 그거 살려구요,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
패션테러, 이순신 갑옷 저 삿는데,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
heeee, 쉽뽀글이~중독성있네요😁원단도 너무 좋아보여요👍,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
sis, 다이뻐서 장바구니 넣다보니 40만원넘었으요...뭘빼야할지모르것네요ㅜ,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
coca9500, 이 치마 정말 만능템,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
Kaisleymama, Sheep 🐑 발음 길게 잘 하고 계세요 ~~,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
물병자리, 치마컬러고민되네요..,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
어뭉이, 안녕하모니카,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
취급주의, 그래도 피부에 광이~~~~앗 눈부셔,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
모토, 장바구니 이미 뜯어졌다눈ㅎ,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
귀요미쩡, 어뭉님 하이~,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
물병자리, 블랙담았는데 아이보리도 이뿌..,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
어뭉이, 이슌신갑옷이뭐에요?,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
유파이브, 어뭉이님도 빼붓네???,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
동동마미, 어뭉님♥️,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
귀요미쩡, 오널은 안취하셨어요?ㅎ,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
패션테러, 글구 신상 귀걸이 다미아니두개 고것도 샀어요,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
어뭉이, 귀요미쩡님 안녕하모니카,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
heeee, 사장님 옷 진짜 빨리 갈아입으시는군요👍👍,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
coca9500, 깔별로 다 사세요.치마..다 이쁨..가격 2만원도 안합니다,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
어뭉이, 네 어늘은안취했어요,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
귀요미쩡, ㅋㅋㅋ,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
어뭉이, 유파이브님 안녕하모니카,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
패션테러, 블러드 에스닉 이순신 갑옷같은거,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
유파이브, 에취아이❤,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111718,"7,640","5,465"
물병자리, 치마에 아우터는 뭐가 어울려요?,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111740,"7,640","5,479"
어뭉이, 넹,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111740,"7,640","5,479"
취급주의, 치마에 주머니까지!,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111740,"7,640","5,479"
모토, 치마 진짜 편하고 이뻐요,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111740,"7,640","5,479"
귀요미쩡, 저는 저녁에 신랑이랑 와인한잔 할라구요,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111740,"7,640","5,479"
어뭉이, 아침에했던것이 모깡6,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111801,"7,654","5,496"
어뭉이, 와우 🍷 좋아요,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111801,"7,654","5,496"
패션테러, 오전에 신상옷,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111822,"7,755","5,513"
달려라제이, 와인 추천부탁드려요 귀요미쩡님♡,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111822,"7,755","5,513"
패션테러, 신상,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111822,"7,755","5,513"
귀요미쩡, 저는 약간 단맛있는거 좋아해요,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111822,"7,755","5,513"
패션테러, 블러드 에시닉,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111843,"7,824","5,530"
어뭉이, 망또요,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111843,"7,824","5,530"
coca9500, 허리 묶는 패딩점퍼 이쁘겠어요,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111843,"7,824","5,530"
어뭉이, ??,오늘_마지막_장바구니_10%_할인_쿠폰,2021-12-12_111843,"7,824","5,530"
