id,comment,program,time,love,play
몽쉘, 저는 미니담수 이벤뚜 당촘되서 가지고 있는데 이뿜~~,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
몽쉘, 언니 목걸이 없는 날은 캄다운 되는 날 ㅋㅋ,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
해피앤햄톨스, 아 몽쉘님은 미니사쥬구낭,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
몽쉘, 넹 퉐스님 부담없이 하기 됴음요❤️,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
몽쉘, 이뿌다 이 코디도,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
Woo, 아이보리 찜,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
Woo, 장바구니담기함요,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
몽쉘, ㅠㅠ밖에 잠깐 나갔다왔는데 진짜 추오요..,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
해피앤햄톨스, 갯마을차차차에 신민아가 저 담수목걸이를 하고 나오더라구용 ㅎ,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
Woo, 오?,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
해피앤햄톨스, 2회에서 봣어용,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
몽쉘, 신민아 친구분은 미니담수 하고 나오시던데 ㅋㅋㅋㅋ,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
해피앤햄톨스, 앗?ㅋㅋㅋ,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
Woo, ㅎㅎㅎ,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
해피앤햄톨스, 단체주문?ㅋㅋ,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
클래시, 저는 더제이님들 리뷰 얼렁 보구 왔어요 이쁜 원핏 두개 하고 자러 갈께용,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
몽쉘, ㅋㅋㅋㅋㅋㅋㅋ 수둉님 역시 👏🏼👏🏼 정신차려 짝짝👏🏼👏🏼ㅋㅋㅋㅋㅋㅋㅋ,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
몽쉘, 클래시님 내일 따시게 입으시구 출근하세요🙆🏻‍♀️,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
해피앤햄톨스, 클래시님 좋은밤되세용,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
클래시, 이번 한주도 다들 잘 보내세용 ^^,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
Woo, 굿밤요~,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
Woo, 니트류는 부드러움 중요~,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
Woo, 따가우면 힘들어요ㅜ,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
치즈라면, 안녕하세요 벨벳뷔스티에 원피스 배송 빠른가요???,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
장바구니담기, 첫째도 기상😱😱😱,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
몽쉘, 따가운거 제일 못입으시는 분 = 언니 ㅋㅋㅋㅋ,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
Woo, 😱,이번주_베스트_상품_입어보기_라이브,2021-12-12_153019,"10,371","2,063"
