id,comment,program,time,love,play
방글이, 3키로 샀어요~,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
노브레끼, 3키로 구매하셧데요,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
마니팡, 와 방글이님도 했데요,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
노브레끼, 오..흥미 진진,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
방글이, 네,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
노브레끼, 이제 되엿다!ㅋㅋ,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
오렌지빛가을, 안녕하세요^^,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
노브레끼, 보자보자!ㅋㅋ,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
노브레끼, 뽑는거 보고 자야지!ㅋㅋ,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
마니팡, 올~ 그럼 한번더? ㅋ,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
노브레끼, 누가누가 업글갈껏인가!,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
노브레끼, ㄷㄱㄷㄱㄷㄱㄷㄱㄷㄱ,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
오렌지빛가을, 로또보다더 흥미진진요ㅋㅋㅋㅎㅎ,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
마니팡, 우리 언릉 끝내그 주무십시닷!!!,이벤트)감귤_3키로-5키로_업그레이드__선착순&추첨,2021-12-12_141502,"42,990","1,412"
