id,comment,program,time,love,play
atom, 신선한 디자인!!,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 소매가 털이라 더 사랑스럽네요,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 스타일 멋지다!,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 드뎌 숙제다햇어여 ㅋㅋ,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 집중해서 보려고용 ㅎㅎㅎ,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 신상품 항상 기대되네요 감사합니다,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 그래두 이쁜옷보여주셔서 캄사드려요 ㅎㅎ,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 사장님도 화이팅 👏,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 요거 이뻐요♥♥,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
Sunny, 그린니트랑 입으니 이쁘네욧,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 그린 니트와 어울리네요,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 다운점퍼♥♥,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 사장님 방금 울메리노 그레이브라운둘다모두 주문했어요 배송잘부탁드려요 ㅋㅋ,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 고민하다가 둘다모두 했어요 ㅎㅎ,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 품절될까봐요 ㅋㅋ,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 🙏 감사해요,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 그냥 한벌느낌이네요 ㅋㅋ잘어울려요,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 👍👍👍시크해요,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 블랙 패딩하고 폭스 코디 넘 잘어울리시요,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 넘 예뻐요,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 완전 제 스탈~~,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 멋진 출근룩!,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 가볍게 데일리로 편하겠어요,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 여기에 숄도 함께 ㅋㅋ,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
atom, 숄은 항상 인정♥♥,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 요즘에는 니트가 눈에들어와요 👀,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
int, 🧥 코트가 날씬날씬 ㅋㅋ,일요_신상할인🎁_연말에_뭐입지12_12),2021-12-12_134535,"1,640","1,892"
