id,comment,program,time,love,play
봉봉가시, 고민스럽긴 해용?,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 램언니👍👍,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 진심 ㅋㅋㄱ고민ㅋㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 처음에 보여주신 폭스퍼는 어때유?,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 완전 빵빵한거 찾아요??,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 저 결정 잘못해요ㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 전 터래기 붙은거 별로라서,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 아하~,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 터레기 ㅋㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, ㅋㅋㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
루비s, 터래기ㅎㅎ,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 걍 막 걸치고 할수있는거 ㅋㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 뒷모습,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 언니가 또 강추하니까,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 이것도 귀엽다네,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 색은 두개여요?,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
윰, 언니 랩원피스는 내일올려주세용?,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 베이지는 방금든거랑 같아요,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 카키랑 베이지 두개,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
ram, 초코사장님이 추천해주신거는 받아보면 전 좋더라구요^^,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 지금입은거 베이지색이 좀전 색이랑 같나요?,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 이 패딩은 팔에 들어간 디테일이 이쁘다요,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
루비s, 담주부터는 더춥대요~ㅜ,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
윰, 🤗 그럼 저도 눈이 막 감겨서 낼 구매하러 올게욥,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
윰, 모두들 굿밤되셔요~!!^^,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 윰언니 잘가욧,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 낼바요,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
땐땐모찌, 베이지,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 낼또봬용~,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
윰, 안뇽빠이^^~~~~,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 난 카키가 귀욥다,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
봉봉가시, 땐언니는 안 들리겟지만..ㅋㅋㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143634,"1,078","1,511"
ram, 롱패딩 사고나니 숏패딩도 눈에 아른거리네요 ㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143655,"1,078","1,515"
땐땐모찌, 🤣🤣🤣🤣🤣🤣,잘만든_빵빵한패딩_dc,2021-12-12_143655,"1,078","1,515"
ram, 카키 넘 예쁘네요^^,잘만든_빵빵한패딩_dc,2021-12-12_143737,"1,078","1,527"
땐땐모찌, 색은 카키이쁜데  베이지가 옷입기가 수월할거같아서ㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143758,"1,078","1,531"
봉봉가시, 그거 램언니? 나랑 취향 맞으시다이,잘만든_빵빵한패딩_dc,2021-12-12_143758,"1,078","1,531"
ram, 아~그래요?가시언니^^,잘만든_빵빵한패딩_dc,2021-12-12_143819,"1,080","1,537"
봉봉가시, 근데 언니는 램?이에요 람?이에요??,잘만든_빵빵한패딩_dc,2021-12-12_143901,"1,080","1,542"
땐땐모찌, 퇴근준비 바쁘시다ㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143921,"1,080","1,549"
ram, 람이요~^^ㅋ,잘만든_빵빵한패딩_dc,2021-12-12_143921,"1,080","1,549"
루비s, 항상색고르는게 넘힘들어용ㅠㅎㅎ,잘만든_빵빵한패딩_dc,2021-12-12_143921,"1,080","1,549"
땐땐모찌, 옷입긴 베이지가 낫것쥬,잘만든_빵빵한패딩_dc,2021-12-12_143921,"1,080","1,549"
봉봉가시, ㅋㅋㅋㅋㅋㅋ 내맘대로 불러버렷네. 람언니♥,잘만든_빵빵한패딩_dc,2021-12-12_143942,"1,080","1,551"
ymc, 44반 66반 다 사이즈 괜찮죠?,잘만든_빵빵한패딩_dc,2021-12-12_144003,"1,080","1,557"
