id,comment,program,time,love,play
붕어빵 붕어빵, ㅋㅋㅋ,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
사회초년생, 다함께 이끌어가는 회사 멋지네요,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
핑크립, 하루 두번 고생 너무 많으셨어요❤,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
산타할머니, 코트 주문하러 갑니다 ~~~~~~~~~~~~~~~빠이빠이~~~ 수고하셨어요~~,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
ysw, 낮보다 훨씬 좋았어요~,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
깽스 꿍꿍꿍, 더 들어오세욥,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
yon, 오늘 방송 잼났고 저렴하게 잘 구매했어요❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😘😘😘😘,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
탱, 베이지 코트 고민하다가 결국 결제했습니다!!!,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
라스피 raspy, 안돼 다 나가주세여 ㅋㅋㅋㅋ 라방 소듕,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
사회초년생, ㅋㅋㅋㅋㅋㅋㅋㅋ,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
odolks, 더 해주세요,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
또노라, 패션 부문 1위 라방 제아🤗🤗🤗,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
아톰, 대표님👍👍👍,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
몬스터한, 누구랑 놀아야 하나요..?,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
thom, 라방으로 들어와서 럭키니트가디건 득템해써여 존예❤️,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
민초단, 오전방송 유진님 랩 하다가 끝났지 뭐예요 ㅋㅋㅋㅋ,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
sh, 일요일도 수고 많으셨어요~~~,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
지방 뿌셔, ㅋㅋㅋㅋㅋㅋㅋㅋㅋ저녁 라방도 재밌었어용ㅇ ㅎㅎㅎ,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
그녀, 담에 또 뵈요~~~,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
수야, 모자 이쁘네요,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
라스피 raspy, 12000해야져 12/12 인대,제너럴아이디어_브랜드데이_최대_86%,2021-12-12_111627,"24,909","11,123"
