id,comment,program,time,love,play
백만장자, 부드럽나요소재는요~,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
바닐라, 어제 보여주신 샌더 알파카 코트는 배송 얼마나 걸릴까요? :),주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
러닝부부, 알파카 케이블 카라 니트도 보여주시나요?,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
꽃라떼, 요게 더 둥글둥글하니 귀엽네요,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
황경예, 메르자켓도 한번더 보여주세요,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
꽃라떼, 요것도 베이킹파우더 제품인가요?,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
백만장자, 블랙도다시한번 입어봐주세욥,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
blu, 안녕하세요~ 샌더 알파카 코트 배송은 얼마나 걸릴까요?,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
blu, 어제 주문했는데 너무 기대되요😄,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
싸랑과열쩡, 안녕하세요~,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
코미7, 안녕하세요~~^^♡ 늦었어요,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
햇님이, 메르 예뻐요~♡,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
초이ssul, 어제 입은 색상이랑 같은 색상인가요??,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
황경예, 감사해요~~어제구매했어요^^수고하세요,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
초이ssul, 사장님 아이보리색상 실제로 보셨나요??,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
윤다, 안녕하세요 ~ 처음 들어왔는데 옷이 너무 이쁘고 고급스럽네용 ㅎ,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
초이ssul, 아.. 고민했던 옷인데.. 역시 이쁘네요 ㅎㅎㅎ,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
윤다, 너무 따뜻해보여요 ~,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
코미7, 할인 언제까지 인가요? 넘 띄엄띄엄 봐서 다시 돌,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
코미7, 돌려봐야할듯요..ㅠㅠ,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
초이ssul, 다 이쁜데... 그래도 사장님 추천색은 뭐예요??^^,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
초이ssul, 코트 이쁜데.. 고민되네요 ㅎㅎㅎ,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
수분크림, 뒷 팔 라인이 넘 예쁜 코트네영,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
수분크림, 앞도 이뿌구영,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
YunaGANG," 이전 코트는 어떤상품인가요?,,",주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
수분크림, 바지가 무슨 코트에 입어도 다 잘어울려서 요건 진짜 사야겠어요!!!,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
수분크림, 다이쁘네요ㅠㅠㅠㅠㅠㅠㅠ,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
코미7, 라인이 딱 정돈되서 이쁘네요,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
blu, 동그리스판부츠 250은 여전히 품절인거죠?,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
jhc, 모델님 하의 사이즈좀 알수 있을까요?,주말할인_블랙라벨_모던바이민_2,2021-12-12_130901,"2,306","3,623"
ㅅㅏㅎㅏ, 흑청 m사이즈는 골반있는 29도 입어질까요?,주말할인_블랙라벨_모던바이민_2,2021-12-12_130922,"2,306","3,632"
혜야, 배부분 여유있으신가요?아님 딱 맞으시는지 26~27입는데 s괜찮을까요,주말할인_블랙라벨_모던바이민_2,2021-12-12_131024,"2,306","3,658"
이오, 오늘 티아나팬츠는 안입어봐주시려나요,주말할인_블랙라벨_모던바이민_2,2021-12-12_131539,"2,317","3,762"
이오, 흑청은 다리가 너무 끼진 않죠!,주말할인_블랙라벨_모던바이민_2,2021-12-12_131703,"2,317","3,789"
초이ssul, ㅋㅋㅋ 넵..!! 알것같아요~,주말할인_블랙라벨_모던바이민_2,2021-12-12_131826,"2,317","3,822"
YunaGANG, 니트.ㅜㅜ색상무이뻐여 ~,주말할인_블랙라벨_모던바이민_2,2021-12-12_132054,"2,318","3,865"
YunaGANG, 제품 부탁드려요~,주말할인_블랙라벨_모던바이민_2,2021-12-12_132054,"2,318","3,865"
초이ssul, 티아나 베이지 너무 잘입고 다니고 있어요^^ 이쁘고 편하답니다~,주말할인_블랙라벨_모던바이민_2,2021-12-12_132155,"2,318","3,906"
초이ssul, 베이지 위에 밤색니트도 이쁠까요??,주말할인_블랙라벨_모던바이민_2,2021-12-12_132318,"2,318","3,962"
윤다, 부들부들 재질인가요?,주말할인_블랙라벨_모던바이민_2,2021-12-12_132521,"2,389","4,027"
초이ssul, 부드럽나요??,주말할인_블랙라벨_모던바이민_2,2021-12-12_132542,"2,389","4,039"
혜야, 스키니요~ s사이즈 허리 32 맞을까요?한번 재어봐주실수 있으세요,주말할인_블랙라벨_모던바이민_2,2021-12-12_132644,"2,392","4,074"
