id,comment,program,time,love,play
rok, 안녕하세요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
무적, 안녕하세요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
판다곰, 이설정은..,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
jan, 반가워요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
moo, 그램써도 사기좋나요??,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
삑, 오호,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
kim, 안녕하세요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
소금카라멜, 안녕하세요~,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
dbs, 모니터암이 잘 견뎌 줄랑가,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
magicjet1984, 안녕하세요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
yunkyung, 반가워요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
rok, 응원합니다,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
호랑 호락, 안녕하세요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
하희정, 안녕하세요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
만사형통, 반가워요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
you, 반갑습니다,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
kdh, 지금 24인치 쓰는데 32인치 사고싶다 ㅋㅋ,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
별 하나, 반가워요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
kbs, 반갑습니다,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
아행, 반갑습니다 :D.,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
슈퍼맨, ㅂㄱㅂㄱ,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
하희정, 기대되요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
삑, 기다렸어요!!,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
이카, 와 연기력..,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
Stay, 벌써 다나간건가...,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
슈퍼맨, ㅠㅠ,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
SlowStar, ㅎㅇ,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
김강현, 알림안뜨게어떻게하나요이거,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
민트봉봉, 반갑습니다,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
kjk, 대박 기대중이에요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
토파즈, 좋아요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
도라에몽, 반가워용,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
영웅97, 안녕하세요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
까미, 안녕하세요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
영웅97, 반갑습니다.,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
casa, 좋아요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
ggu, 잘볼께요,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
wan, 라이브입니까?,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
블루스카이, 기대중,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
콘치즈, 주연이~,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
판다곰, 주연이는 못참지,주연테크_갓성비_V28UE_후속_V32UE_단독_출시,2021-12-12_110039,"5,328","8,694"
