id,comment,program,time,love,play
정민, 더블오버핏 다크네이비 보여주세요,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
배나온민족, 오 굿이네요,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
배나온민족, 깔끔하고,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
김봉숙, 터틀넥 아이보리가 없는데 구매 방법 알려주세요,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
배나온민족, 좋은데요,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
배나온민족, 색도 좋고,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
pangpang, 혁형은 밝은게 잘받아요,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
이동익, 오버핏이랑 일반이랑 비교좀해주세영!!!,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
pay, 체스터코트 옵션 2는 그럼 정사이즈 주문해야 해요??,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
비단길, ㅎㅎㅎㅎ,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
kor, 사이드밴딩 미라클 팬츠도 보여저ㅜ세요,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
han," 구스다운 비지니스코트 182cm, 85키로 사이즈 105 입어야할까요 110 입어야할까요?",지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
dla, 오버핏더블코트 172에85입니다 사이즈 105하면 될까요?,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
브비, 맨투맨 저번에 105가 너무 딱맞았는대 후드살건대 105 맞을가요..?,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
pay, 아 주문취소하고 다시 해야 하네요,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
pure3659, 혁형님은 다멋있네요,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
탈출, 입고있는 바지 설명은 아직 안했나요?,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
dla, 오버핏더블코트 172에85입니다 사이즈 105하면 될까요? 105하면 기장이 너무 길지않을까요?,지오지아_1212_day_기념_LIVE_특가!,2021-12-12_104204,"3,147","12,472"
