id,comment,program,time,love,play
꿀꺽, 안녕하세요,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
꿀꺽, 언제까지 방송하시나요,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
꿀꺽, 리얼 1박2일 이네요,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
m22, 사이즈가 대형인가요?,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
따닝, 안녕하세요~,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
따닝, 지금 쓰신거는 사이즈가 몇인가요?,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
바다, 마스크 설명을 잘 하시는 것 같아요^^ 색이 화사해서 이쁘네요 구매하러 갈게요! 번창하세요^^,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
따닝, 옆모습도 보여주세요~~,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
온새미로, 셔츠랑 마스크랑 잘어울려요,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
온새미로, 네이비에는 베이지가 찰떡이죠,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
온새미로, 맥주 마시면서 보고있어요,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
온새미로, 일분남았네요,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
온새미로, 쇼호스트님 내일은 온라이브 나오시나요?,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
온새미로, 그렇군요,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
온새미로, 😂,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150502,"1,527","1,351"
온새미로, 스타일핏 마스크 쓰면,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150523,"1,527","1,357"
온새미로, 애인 생길수있나요,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150523,"1,527","1,357"
온새미로, 👍🏻,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150707,"1,527","1,376"
온새미로, 🎅🏼,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150748,"1,527","1,386"
현아, 숨쉬기편한가요?,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150932,"1,527","1,405"
현아, 숨쉬실때마스크가 들어가는거같은뎅..,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_150953,"1,527","1,413"
온새미로, 저는 이만 떠나보겠습니다,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_151035,"1,527","1,425"
온새미로, 고생하셨습니다,초특가!_1매_330원!_비움_스타일핏_마스크!,2021-12-12_151055,"1,527","1,430"
