id,comment,program,time,love,play
rothko12, 부엉이 넘나 볼매요 ㅋㅋㅋ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
미니미, 근데 똑같은걸 줘도 싸운다는게 함정..........ㅋㅋㅋㅋ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rlagprur22, 사장님 야광반지 끼세요 ^^엄청 시선강탈이네요 ㅎㅎ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rlagprur22, 그래요?미니미님?^^,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
초록이, 달 유니콘이요 네네 ㅎ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
미니미, 그럼요.. 똑같은거 사줘도... 이게 니꺼였잖아~~이게 내꺼잖아~~,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rlagprur22, 아~~~~~,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rlagprur22, 그럼 어찌해야하나ㅠㅠ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
미니미, ㅋㅋㅋㅋ그냥 받아들이세요....ㅋㅋㅋ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
heeee, 사장님 웃음소리 중독성있어요🤭🤭🤭넘 귀여우세용😄😄😄,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rlagprur22, ㅋㅋ 선물할거라서요 ㅋ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
미니미, ㅋㅋㅋㅋㅋㅋ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
냐니, 똑같은게 좋지않을까용ㅋㅋㅋ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rlagprur22, 맞아용 사장님 웃음소리 중독되용 ㅎ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
미니미, 그냥 마음껏 웃으셔도 됩니다~~ㅋㅋ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rothko12, ㅎㅎㅎㅎㅎㅎ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
heeee, 같이 웃게돼요🤭🤭🤭😄😄😄,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
미니미, 부엉이 이뽀~~~~~,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rothko12, 감샤합니다 하실때도 재밌으셔 ㅎㅎㅎ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
미니미, 수리수리~~마수리~~~~,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rothko12," 감사아니고 감""샤"" ㅎㅎㅎ",크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
heeee, 감샤~~샤샤샤~~😄,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rothko12, ㅎㅎㅎㅎㅎ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
미니미, 우와~~처음보는거다~~~~,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
heeee, 회전목마는 돌아가서 더 좋은것 같아요👍👍,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
초록이, 요것도 이쁘네요 아이고 고민이에요 ㅎㅎ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
미니미, 진짜 고민고민..ㅠ,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rothko12, 회전목마 멋잇어요~~~,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rothko12, 아 졸린데 배고파....,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
bambi, 이 아이 이름이 뭔가요??회전목마??,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153106,751,654
rothko12, 크리스마스 회전목마에요,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153126,751,660
rothko12, 2번째 장바구니,크리스마스_감성_오르골_스노우볼🎄,2021-12-12_153126,751,660
