id,comment,program,time,love,play
슈엔, 선물상자트리 들어왔네요?,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
깡돌근버섯, 네!!답변 감사합니당!!’ㅜ,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
쎄라, 안녕하세여 ~~^^,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
신신2 햇님달님별님, 언니 나도 불끄고 오르골 키고 방송보고 있어요ㅋㅋㅋ 너무 뿌듯,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
신신2 햇님달님별님, 네네 공중전화 선물 납작 3개 산타로 샀어요^^,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
신신2 햇님달님별님, 맞아요...계속 보고..마을까지..기다리고 있었어요 ㅋㅋ 내일 바로 티켓팅!,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
ljiyoung88, 마을 품절이네요ㅠ,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
장원철, 내일 10시에도 방송하나요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
슈, 이거 오르골소리가 많이크나요~????,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
jy, 어린이들 있는집은 어떤게 베스트일까요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
sun, 지금 원형랜턴구매후 방송 보고 있어요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
jy, 10세6세입니다^^,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
쎄라, 그 1명이..저에요 ㅋㅋㅋㅋ,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
슈, 납작 마을 품절인데 물량 언제들어올까요?ㅠ^ㅠ,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
쎄라, 오늘 후기 올렸어요~~^^,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
신신2 햇님달님별님, 저도2개 사고 싶었어요 ㅠㅠ 전에 너무 많이사서 ㅠㅠ 아직도 한개더 살까 고민중..,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
신신2 햇님달님별님, 아..너무 이뻐서..주기가 ㅋㅋㅋ 납작을 집에 어머님 드려볼까요?!,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
신신2 햇님달님별님, 네네 그럼 하나 가져갈게요 ㅋㅋㅋ 잘가라 납작 산타님 ㅠㅠ 공중전화 눈사람 리뷰 쓸테니 나 꼭 베스트리뷰좀!ㅋㅋㅋ,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
쎄라, 오홀~~~~ 기대기대~~~,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
신신2 햇님달님별님, 네네^^,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
rzzz1, 넘 예쁘네요 고르러 갑니당,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
장원철, 직장인분들이 많네요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
차차, 납작사각 옆모습궁금해요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
나니아, 처음 왔어용,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
나니아, 사각랜턴 눈사람 보여주심 감사요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
나니아, 음악이 나오는거죠?,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
나니아, 사각 눈사람이용,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
kok, 넘예뻐요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
나니아, 넘넘 이뻐용,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
신신2 햇님달님별님, 진짜 스노우볼도 궁금하긴한데 오르골이 압도적으로 이뻐요 ㅠㅠ,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133509,"7,914","2,001"
신신2 햇님달님별님, 맞아요 ㅋㅋ 오르골은 첫날이후로는..잘 ㅋㅋㅋ 그래도 애들은 좋아하더라고요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133609,"8,155","2,021"
장원철, 12시에 방종해주세요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133733,"8,427","2,050"
묘마훈마, 지금들어왔는데 마을썰매스노우볼 보고싶어요 ㅠㅠ,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133814,"8,575","2,069"
장원철, 오전방송 몇시에하나요,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133856,"8,610","2,084"
장원철, 8시 헉,크리스마스_오르골&스노우볼_하나는_꼭_있어야해🎁🎄_,2021-12-12_133917,"8,634","2,091"
