id,comment,program,time,love,play
eunha9272, 결혼10주년에 버버리패딩 사준다 했는데 이거 사니깐 괜찮냐고 물어봐요 ㅋㅋ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 패딩이 진짜 고급스러운,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 앜ㅋㅋㅋ 괜찮냐고ㅋㅋㅋ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
eunha9272, ㅋㅋ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 9272님 버*리도 받으세요 ㅎㅎ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
한주, 너무 고급스러워요 🤍🤍,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
eunha9272, 다른코트로 퉁하기로 했어요,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 10주년인데 받으세요💜💜💜💜,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 다른코트ㅋㅋㅋㅋㅋㅋ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 뭔들 꼭 받으시길 바라요♡♡♡,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
eunha9272, ㅎㅎ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 결혼하신분들은 다 선배님이십니다 ^-^🤎,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo," 저희엄마는 결혼한지 40년 넘었는데, 엄마테 고맙다소리를 잘안하게되네요. 내일은 꼭 해야겠어요ㅎㅎ",크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 곧 연말이니^-^♡,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 왠지 엄마테 잘안하게 되더라구요,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 닭살이...돋고,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 어색하고,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 맞아여 오글오글ㅋㅋㅋ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 오글이 정답입니다,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo," 진짜 패딩만 하시는데, 바쁘시네요 ㅎㅎ",크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 상품이 1개인데ㅋㅋㅋㅋㅋㅋㅋ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 진짜 롱패딩은 휘뚜루마뚜루죠ㅎㅎ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 젤 베이직한 색상인 블랙과 아이보리ㅎ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 저 키가 155인데 그거 입음 발목넘어갈까요??,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 아 총장 110이네요 ㅎ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
늘푸른 소나무, 블랙이 진리인데 아이보리 도 진리 네요,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 158 ...발목??,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, ㄴ(˙Ⱉ˙)ㄱ ㅋㅋㅋ 헐,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 아 충격적이네요ㅋㅋㅋ 빵터짐ㅋㅋㅋㅋ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
귀여우니, 사장님 키가 혹시 어떻게되실까요...?,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 네네 가지고있는 옷을 비교해볼게용 ㅎㅎ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150030,"6,751","1,563"
뀨미 ovo, 헐 175 ㅇ. ㅇ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150050,"6,815","1,566"
뀨미 ovo, 얼굴이 작으셔서 165정도 인줄알았어요,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150050,"6,815","1,566"
뀨미 ovo, 오 치로레이디 뜻이 그런거였군요 ㅇ. ㅇ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150132,"6,844","1,579"
뀨미 ovo, 재미있네요 ㅎㅎ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150132,"6,844","1,579"
으닝, 치로 귀여워요 저는 육사레이디 ㅋㅋㅋ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150214,"6,844","1,596"
뀨미 ovo, 아쉽네요 ㅜㅜ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150214,"6,844","1,596"
뀨미 ovo, 저는 오오레이디네요 ㅋㅋㅋㅋ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150214,"6,844","1,596"
뀨미 ovo, ㅋㅋㅋㅋㅋㅋ 귀여우셔,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150255,"6,844","1,606"
뀨미 ovo, 애교장착하셨네요,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150255,"6,844","1,606"
뀨미 ovo, 울목도리는 라방에서만 증정!!!,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150316,"6,844","1,609"
초코파이, 오늘은 훈남남편님 안오셧나여,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150316,"6,844","1,609"
뀨미 ovo, 오늘만 울목도리 증정인거쥬??,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150316,"6,844","1,609"
늘푸른 소나무, 오오 육사 치로 재미 있어용,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150316,"6,844","1,609"
뀨미 ovo, 😥😥😥😥😥😥😥😥,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150337,"6,844","1,614"
뀨미 ovo, 눙물....이 납니다,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150418,"6,844","1,625"
뀨미 ovo, 첫구매에만 울목도리 오늘만 증정!!! 🙈🙈🙈🙈,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150439,"6,868","1,633"
뀨미 ovo, 🧣오늘만 울 목도리 증정 입니다 ^-^,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150600,"7,105","1,659"
으닝, 저 목도리 브라운이요🤗,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150621,"7,191","1,661"
eunha9272, 목도리 궁금해요,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150621,"7,191","1,661"
뀨미 ovo, 으닝님 톡톡메세지 보내주시면 되세용 ^-^♡,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150642,"7,245","1,665"
으닝, 네♥︎,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150703,"7,330","1,672"
뀨미 ovo, 🧣🧣🧣🧣🧣🧣🧣🧣🧣🧣🧣🧣🧣🧣🧣,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150723,"7,334","1,679"
뀨미 ovo, 21분 남았습니당 🐒,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_150949,"7,444","1,710"
eunha9272, 목도리도 다들 색이 예뻐요,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_151010,"7,444","1,718"
뀨미 ovo, 퍼와 모자는 탈부착입니다 ^-^♡,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_151051,"7,444","1,732"
뀨미 ovo, 충전재는 오리솜털80 오리깃털20 퍼는 리얼폭스퍼 100% 입니다,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_151133,"7,500","1,744"
귀여우니, 목도리색마저 고민중이네영,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_151214,"7,511","1,758"
뀨미 ovo, 벨트는 부착되어있어 잃어버릴 걱정은 없지만 참고해주세요~,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_151235,"7,592","1,761"
eunha9272, 저두요 ㅎㅎ,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_151256,"7,671","1,770"
귀여우니, 넵,크리스마스🎄_블랙라벨_롱패딩✨_첫공개,2021-12-12_151256,"7,671","1,770"
