id,comment,program,time,love,play
스틸양, 그레이까지 한세트였으면 너무 좋았을것같아요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
꾸루, 라일락 색은 업나요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
까마귀주현님팬물망초, 낼 아침부터 아떤거 빙송가나요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
코코릴리, 주문했습니다!!,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
코코낸내, 스틸양님 10일만 기다랴주세영,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
챈챈, 그레이는 10일 뒤에 출시됩니다 ~,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
하하, 여성들 중형 대형 중 뭐 쓰시나요??,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
꾸루, 그레이 업나요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
동그란냥통수, 마스크 대형샀다가 남자분 얼굴에 넉넉한거 보고 취소하고 중형으로 재주문햇네요 허호호,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
나아느은, 라일락~ 아이유 생각나네요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
포카, 중형/대형 세트 다 샀어여~,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
챈챈, 저는 중형 씁니다,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
꾸루, 그레이엄나오,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
까마귀주현님팬물망초," 하하님,자 대형요",🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
코코낸내, 하하님 여성도 사이즈 다 달라영 ㅠㅠㅠ,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
겨울살이, 색상 너무 이쁘요~~ㅜㅜ,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
나아느은, 비움의 아이유 주현언니,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
꾸루, 그래이 업나요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
코코릴리, 스타일핏 클래식 다 주문했어요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
챈챈, 저희 엄마는 대형 써요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
진정브라운, 평소에 착용하시는 사이즈로 주문하시면 돼여,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
H님, 아이유요??????????????,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
H님, 나아느은님??????????,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
코코릴리, 에쉬그레이 사고싶어요ㅠ,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
나아느은, 네!!! 아이유요!!!!!!!!!!!,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
스틸양, 주연님이 워낙 얼굴형이 예쁘셔서 뭘 쓰셔도 예쁘시네요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
악플방지대, 노잼,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
챈챈, 애쉬그레이는… 10일 후에 .. 흑흑,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
마이쭈, 에티카 중형도 부탁드려용💌💌💌💌💌💌💌💌,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
나아느은, 제 맘 속 아이유!!!!!!!! 주현님!!!!!!!!! 개이뻐!!!!!!!!!,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
boi, 질러버렸네요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
코코낸내," 비움 여신, 푸름여신~~~ 주현쇼호스트님!!!❤",🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
까마귀주현님팬물망초, 그레이 ㅠㅠㅠㅍ,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
허니마미, 중형이랑대형비교해주세요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
osy0007, 언니가 프로랑 플러스 한번씩 써주세요 ㅜ,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
악플방지대, 아아 그건 인정!!!!!주현님!!!!짱이뻐!!!,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
코코릴리, 이뻐요 색감!,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
Layna, 구매했습니다~,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
챈챈, 주현님 에티카 중형 써쥬세요 ~~,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
boi, 넘 예뻐여,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
나아느은, 주현님!!!!!!! 짱이뻐!!!!!!!!!,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
뭐냐이거, 에코프로좀 착용해주세요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
keh, 아에르 소형작고 중형은 커요 에코 플러스와 프로중 뭘쓰면 될까요?,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
코코낸내, 에구라인~~~~~,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
keh, 아에르 소형작고 중형은 커요 에코 플러스와 프로중 뭘쓰면 될까요?,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
까마귀주현님팬물망초, 방송 아예없는거에요?다른마스크두요?,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
나아느은, 내 연예인 주현님!!!!!!!!!!!!!!!!,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
겨울살이, 화낼껀내야죠~~,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
H님, ㅋㅋㅋㅋㅋ,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
악플방지대, 주현니 최고!!!!세젤예!!!!!!,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
따닝, 에티카 써주세요ㅠㅠㅠㅠㅠ,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
한글별명, 아니예요. 아닌건 아니라고 말씀해주셔서 넘 좋아요🥰,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
챈챈, 물망초님 아마 스타일핏 빼고 하시지 않을까요..?,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
예쁜당신, 화내셨군요,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
진정브라운, 주현님 언제나 화이팅 ❤️🧡💛💚💙💜 푸둥이들이 응원합니당 💕,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
치치, 언닝 에코 프로용!,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
겨울살이, 안내면 화병나여~~~~,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
따닝, 핏보고 사고싶어요ㅠㅠㅠ,🎊런칭특가🎊_비움_스타일핏_클래식_럭셔리_초특가,2021-12-12_131942,"9,596","84,652"
