id,comment,program,time,love,play
다다닥, 중리아,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 둘다요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
권선구청, 매니저님은 줄리아,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
ㄱㄴㄷㄹㅁㅂㅅ, ㅋㅋㅋㅋ귀걸이는 무조건 사세요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 둘다 이뻐요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 아이고 맘이 급해서 오타났어요 ㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 그냥 다른걸로 서로 하나씩 하시고 서로 바꿔서도 착용하시라니까요ㅋㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 사세용 ㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
겨울나라하와이, 난 둘다 ㅎㅎㅎ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 너무 잘어울리세오,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 트리플컷이요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
마음은20대, 글로라아 픽,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 같이 망하자 같이 다서저,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
마음은20대, 글로리아 이뻐요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 줄리아요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
uni, 사세요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 글로리아랑 줄리아랑 세트죠,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
uni, 다 사세요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 줄리아!!,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 같이 하셔야죠~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
ㄱㄴㄷㄹㅁㅂㅅ, 줄리아 너무 잘어울려요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 언니랑 철떡이에요🔥,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 글로리아랑 줄리아랑 찰떡!,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 체인이 유행~~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 매니저님 최고,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 미쳤어 언니들 내 이상형ㅠㅠㅠㅠ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 예쁜제품 사려구 돈버는거져 ㅋㅋ🔥,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 가희님듀 이뻐요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 줄리아 진짜 대애박,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, ㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 또 나왔다는,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
uni, 진짜 잘 어울려요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 스우파에 이은 갤우파,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 언니들이랑 랜선 커플템할래요💗 ㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 줄리아 대박,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 저두요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 갤러리아 우먼 파이터 ㅋㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 좋아요!!ㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 전 미리받겠어요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
우유조아, 페넬로페 구매했습니다!!!,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 💗넘 예뿌요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
uni, 반지랑도 세트 같아요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 심장폭격기!,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 사촌언니랑 고민하는 느낌 ㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 세련~~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 우아~~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 전 비너스 세투!!!,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
권선구청, ㅋㅋㅋㅋㅋ다같이 고민하는 방송,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 글로리아의 족쇄에 걸리셨어요ㅋㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
닉네임, 전 원터치 오브리갑니다...,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 줄리아는 선택이 아닌 필수로 하신다고,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, ㅋㅋㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
ㄱㄴㄷㄹㅁㅂㅅ, 맞아요 오늘은 원터치가 너무 예뻐요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 찐임~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 가지마요 언냐들 ㅠㅠ💗 더 쇼핑해요~~~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, ㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
권선구청, ㅋㅋㅋㅋㅋㅋ오브리 진짜 이뻐요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
권선구청, 전 오브리,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 줄리아 사야지,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 다예뻐서 문제. ㅠ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 오늘 갑오브갑 줄리아,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
uni, 두분 진행 정말 잘하시네요~시간가는줄 몰랐어요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
권선구청, 매니저님 줄리아 추천하고 우린 오브리,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 오브리 오브리~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 경호원분한테 저희가 갤러리아 경호할게요~ 하고 오세요ㅋㅋㅋㅋ 셔터문 닫고 간다고ㅋㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 줄리아로 가요~~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
아리, 후하후하 장바구니 터진다,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
닉네임, 페넬로페 있어서,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 어 다가오지마세요 너무 예뻐서 떨리니까,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
닉네임, 오브리 구매...,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
아리, 눈치게임 두구두구,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 대박 끝날때 결제갑니다 ㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
권선구청, 눈치보는 시간이다,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 언제 끝나나요 ? ㅋㅋ 눈치게임시작...,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 전 보석함요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 재미있는데요ㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
uni, 이벤트가 끝이 없네요,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 저 장바구니 아직 못정히햇늗데 일잔 시켜야겟어여,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 보석함요~~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
권선구청, 너무 이뻐요 오브릐,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
붕어빵 붕어빵, 결제해야하는데ㅋㅋ 두구두구ㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
권선구청, 우리오브리,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 오브리~~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
천월천사, 경호원분한테 셔터문 닫고 간다고 말하고 오시면 될거 같은데요?ㅋㅋㅋ,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
아리, 오브리 진짜 고급스러워여..,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
다다닥, 맘이너뮤급해,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
크로와상, 오브리도 모셔옴~~,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
권선구청, 월요일,👑14K맛집👑네이버연말대전×조이엘×갤러리아🎄,2021-12-12_134449,"34,672","3,580"
