id,comment,program,time,love,play
올리비아 텃새, 양파냄새 와인냄새 싫으실수 있어요,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
제주썬, 신상스포 해주세요~~~~~,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
쏠라쏠라쏠, 저 양말도 샀어유ㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
viv, 이제 담주 수욜 하세요?,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
viv, 라방?,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
깡지, 동대문엔 봄옷은 벌써 나온다던뎅 ㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
라벤, 패딩원피스 언제 하신댓져?,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
올리비아 텃새, 네 깡지님~^^,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
깡지, 봄옷 업뎃은 언제 되나요 ㅎㅎㅎ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
깡지, 넘넘 감사합니다 ♡♡♡,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
아들딸맘, 오늘 와인 너무 마시고파 신랑이랑 나갔다올랬는데 머리가 아파 못나갔는데;,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
쏘이마미, 검정바지랑 입을 니트티 긴것도 추천해주세요..ㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
복실이, 봄옷궁금하네요ㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
eng," 우연히 수아르 알게되고, 4개 아이템 첫구매 했었는데 구매욕 뿜뿜이네요~ 요즘 수아르가 장바구니 한가득이에요^^",💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
아들딸맘, 겨울옷 왕창 쟁였는데 이제 봄옷이구나ㅋㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
깡지, 봄옷 사고싶......,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
viv, 넵,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
화분주인, 파자마,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
올리비아 텃새, 진짜 겨울옷이 너무 많아서 옷장이 터져요,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
쿠론, 봄 옷 또 기대됨요~,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
유리, 오모 양파스킨이 미백에 좋군요!!,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
깡지, 겨울옷 그만 사고 싶어요 ㅋㅋㅋㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
viv, 겨울옷은부피도커서...,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
화분주인, 티비시청하면서 캔맥해야할룩 입으셨네,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
코나, 캉킹원피스 기장은 얼마나될까요? 키 162인데요,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
사월, 이마트가니 봄옷나왔네요.ㅎ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
깡지, 봄옷좀 ㅋㅋㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
올리비아 텃새, 미백 아니고 기미요 ㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
푸우짱, 스마일 소매자수 지금 바로 구입했는데 제가 사니까 품절이래용 아 슬퍼요오 ㅠㅠ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
깡지, 사장님이랑 찐친 하고 싶다는,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
올리비아 텃새, 특히 임신부 기미에 특효에요,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
깡지, 성격이 찐이셔,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
윤ha, 패딩바지 길이 많이 짧아욘??,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120105,"4,199","6,031"
사월, 봄옷기대됨니다,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120128,"4,199","6,042"
viv, 늘 첫물에 빠진...ㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120128,"4,199","6,042"
유리, 오오 기미..! 신기하네용,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120128,"4,199","6,042"
푸우짱, 스마일 소매자수 언제 또 들어와요?,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120128,"4,199","6,042"
깡지, 사장님은 여성스러워서 오피스룩 입으시면 여신이실듯 ㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120214,"4,199","6,082"
올리비아 텃새, 옷장정리하고 봄옷 맞이할 준비해야겠어요~^^,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120214,"4,199","6,082"
viv, 첫물에 강한 수아르~~^^,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120214,"4,199","6,082"
깡지, 겨울옷 그만사고 봄옷 살거에용,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120237,"4,206","6,096"
푸우짱, 일주일동안 계속 사려고 시도했는데 품절이라고 그래서 슬퍼용,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120237,"4,206","6,096"
nh9, 😊,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120237,"4,206","6,096"
푸우짱, 지금 살수 있어요?,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120259,"4,258","6,122"
라벤, ㅋㅋㅋㅋㅋㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120259,"4,258","6,122"
양양이, 열어는 드릴께~~,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120259,"4,258","6,122"
양양이, 앗 늦었당,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120318,"4,323","6,135"
라벤, 푸핫,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120318,"4,323","6,135"
아칫삐삐, ㅋ ㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120318,"4,323","6,135"
viv, 누피님이랑 저랑 같은 생각했네요 ㅎㅎ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120318,"4,323","6,135"
깡지, 겨울 지겨워요ㅠㅠ 겨울옷 그만 사고싶어요 ㅋㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120318,"4,323","6,135"
아들딸맘, ㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120318,"4,323","6,135"
깡지, 10프로 넘 좋다♡♡♡,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120340,"4,380","6,153"
전주 뽀송이, 실시간 첨이에요 와우 ㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120340,"4,380","6,153"
라벤, ㅋㅋㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120340,"4,380","6,153"
viv, 누피님 그만~~~~ㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120340,"4,380","6,153"
화분주인, 내가 젤좋아했던 영화가 신세계다,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120401,"4,477","6,164"
화분주인, 거 옷사기 좋은날씨네,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120401,"4,477","6,164"
깡지, 기다려도 좋아요 10프로라면 ㅋㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120401,"4,477","6,164"
nh9, 크리스마스는 지나고 봄 보여주세요^^,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120401,"4,477","6,164"
올리비아 텃새, 전 여름 수아르가 기대되네요 너무 빠른가ㅋㅋㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120422,"4,574","6,186"
푸우짱, 지금 샀어용,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120422,"4,574","6,186"
화분주인, 한파오기전에 패딩정돈 괜찮잖아?,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120422,"4,574","6,186"
깡지, 근데 연말룩은 업뎃 안하나용♡♡♡,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120422,"4,574","6,186"
장대표, 퇴근길 수아르 다시보기하며 얼마나 웃는지^^ 사장님 누피님 감사감사,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120443,"4,654","6,207"
제주썬, 겨울옷 많이 사긴했어요 이제부터 추워지니 요일마다 고민하며골라서 입ㅇㅓ야..^^,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120443,"4,654","6,207"
viv, 누피님 은근 웃음사냥꾼 ㅋ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120443,"4,654","6,207"
푸우짱, 감사합니다 그 정도 기다리는거야 아무것도 아닙니다,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120443,"4,654","6,207"
짱꽁, 누아르계의 교과서..신세계~~👍👍👍,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120443,"4,654","6,207"
화분주인, 어제저녁에두하길래봤잖아,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120443,"4,654","6,207"
생강젤리, 처음 들어와 봤또욤💕 그런데 플리스 스마일 소매 자수 후드 롱 원피스 이뽀서 주문하려고 했는데 품절이😭,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120443,"4,654","6,207"
dave, 와 좋네요 ㅎ,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120503,"4,742","6,227"
생강젤리, 언제 주문될까욤~?,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120525,"4,833","6,251"
깡지, 근데 연말룩은 업뎃 안하나용♡♡♡,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120525,"4,833","6,251"
마따요, 샤랄리원피스 오늘 없네요,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120525,"4,833","6,251"
생강젤리, 감솨감솨🌸,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120546,"4,878","6,273"
푸우짱, 정말 갖고싶은 옷 사서 너무 좋아요,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120546,"4,878","6,273"
올리비아 텃새, 저 아들 비빔국수해줘야겠어요~ 먼저 나갑니당~^^,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120546,"4,878","6,273"
제주썬, 오늘 오트밀 원피스랑 그레이패딩 주문하고 가요~,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120546,"4,878","6,273"
카라, 지금청자캣이 카라털?그거임?,💥10%염가봉사+신무쓰는_일요일도_즐거워,2021-12-12_120603,"4,936","6,298"
