id,comment,program,time,love,play
안녕하소, 알림받고왔어여~,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
하욜, 가습량쩐다,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
jav, 싸다,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
안녕하소, 2021121286463971 바로샀어여~,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
하욜, 2021121243412741,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
jav, 2021121223891661 구매인증요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
롤링썬더, 신기하네요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
릴리, 가습량이 진짜 쩐다,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
메시아, 갑자기추위져서인지 너무 건조해요~~,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
마법공학, 지금 방 습도 35%에요 ㅋㅋ,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
롤링썬더, 장난아니다 ㅋㅋㅋ가습량,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
롤링썬더, 인증요 2021121224351811,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
릴리, 2021121248242631 엔터탑+U2 샀어요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
마법공학, 2021121212063461 조카들 클쓰마스 선물로 3개샀어여,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
비하인드스토리, 미니가습기 맞나요 ㄷㄷ 왼쪽거랑 차이가 없어보이네요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
letmesleep, 소음은 어느정도인가요?,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
그로운, 요즘 차 너무 건조하더라구요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
메시아, 라이브방송때에만 위의 가격이 적용되건가요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
비하인드스토리, 2021121277086841 구매인증요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120320,36,"5,425"
그로운, 2021121284081261 차량용 구매완,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120342,36,"5,433"
이단옆차기, ㄹㅇ 싸다 어제 다른가습기 산거 넘비싸서 환불해야겠음,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120445,36,"5,532"
하늘빛, 2021121296060151 구매인증요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120445,36,"5,532"
메시아, 엔터탑 유투 같이 사면 배송료는 어떻게 돼요?,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120506,36,"5,587"
이단옆차기, 미쳤넼ㅋㅋㅋ,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120647,36,"6,082"
이단옆차기, 신선하네요 방송,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120647,36,"6,082"
ceg, 구매했어요~ 2021121266100211,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120709,36,"6,196"
구름사탕, 가습량 지렸다,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120709,36,"6,196"
이세카이동물, 필터이벤트 2021121216771021,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120727,36,"6,292"
jan, 초음파 가습기 좋네요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120912,36,"6,837"
이단옆차기, 이벤트참여 2021121260088031,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_120912,36,"6,837"
구름사탕, 2021121260088031 필터이벤트 참여,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_121015,36,"7,156"
하찮은박씨, ㅋㅋㅋㅋㅋㅋㅋㅋ,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_121117,36,"7,477"
림토, 좋아요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_121241,36,"7,905"
HANRYANG, 차에서 써야게싿,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_121302,36,"8,009"
슬프니우니, 2021121291790761 무드등맘에들어서 사요,💦폭발적가습량_초간편급수세척💦무드등_미니가습기_추천,2021-12-12_121302,36,"8,009"
