id,comment,program,time,love,play
jan, 길어보이네요,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
보라 보라 씨샵, 싸장님 로얄자수티 요번주는 오겠죠~~,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
별빛, 나가야하는데 싫네요 라방계속 보고싶어요,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
별빛, 디자인이 센스있네요,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
ssopark, 귀엽고 화사해,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
찐, 랑스 구매하고픈데요ᆢ,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
찐, 뱃살있는 77이라서ᆢ고민이어요ᆢ,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
찐, 악세사리들도 너무이쁘용,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
enzymion, 블랙이 ㅋㅋㅋ,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
몰리, 무겁나용?,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
Ks, 아우터 77괜잔죠,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
몰리, 막입어도괜춘겠당ㅋ,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
Ks, 털빠짐어때요,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
호야맘, 안녕하세요 😄,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
호야맘, 눈 많이왔어요~,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
몰리, 거의녹았어요ㅋㅋ,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
호야맘, 눈싸움하고 썰매태워주고 했네요ㅋ,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
몰리, ㅋㅋㅋㅋ,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
몰리, 저도부산살아봐서 잘암 눈보기 엄청힘들어요,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
호야맘, ㅋㅋㅋ,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
woo 씨삽은사랑, ㅎㅎㅎ,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
호야맘, 사투리 참 정격죠,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
호야맘, 정겹죠,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
호야맘, 애코 색상 둘다 느므 이쁘네요,12월_20일_신상_할인_라이브,2021-12-20_044216,"12,288","3,831"
