id,comment,program,time,love,play
아푸로, 반가워요,2021_'대세'라이브커머스_다판다,2021-12-20_050217,10,"9,623"
라그, 좋아요ㅡ,2021_'대세'라이브커머스_다판다,2021-12-20_050217,10,"9,623"
츄츄츄, 안녕하세요,2021_'대세'라이브커머스_다판다,2021-12-20_050217,10,"9,623"
츄츄츄, ㅎ_ㅎ,2021_'대세'라이브커머스_다판다,2021-12-20_050217,10,"9,623"
츄츄츄, 잘볼꼐요,2021_'대세'라이브커머스_다판다,2021-12-20_050217,10,"9,623"
sky, 하이,2021_'대세'라이브커머스_다판다,2021-12-20_050243,10,"11,793"
낮도깨비, 안녕하세요,2021_'대세'라이브커머스_다판다,2021-12-20_050243,10,"11,793"
배려, 조으네요,2021_'대세'라이브커머스_다판다,2021-12-20_050243,10,"11,793"
yur, 오 안녕하세요,2021_'대세'라이브커머스_다판다,2021-12-20_050309,31,"13,920"
yur, 기대됩니다,2021_'대세'라이브커머스_다판다,2021-12-20_050309,31,"13,920"
예원예준, 제품 기대됩니다,2021_'대세'라이브커머스_다판다,2021-12-20_050335,35,"16,002"
민, 기대되네요,2021_'대세'라이브커머스_다판다,2021-12-20_050401,35,"18,040"
수니, 기대되요,2021_'대세'라이브커머스_다판다,2021-12-20_050452,45,"21,536"
Bkyung, 제품 기대됩니다,2021_'대세'라이브커머스_다판다,2021-12-20_050452,45,"21,536"
수니, 잘보고구매하도록할게요,2021_'대세'라이브커머스_다판다,2021-12-20_050452,45,"21,536"
Bkyung, 구성이 너무 좋아요,2021_'대세'라이브커머스_다판다,2021-12-20_050452,45,"21,536"
par, 신난 모습을 보여주는 것이 좋다,2021_'대세'라이브커머스_다판다,2021-12-20_050544,47,"24,830"
par, 신난 모습을 보여주는 것이 좋다,2021_'대세'라이브커머스_다판다,2021-12-20_050544,47,"24,830"
카페라떼, 안녕하세요,2021_'대세'라이브커머스_다판다,2021-12-20_050544,47,"24,830"
굿모닝, ㅎㅎ,2021_'대세'라이브커머스_다판다,2021-12-20_050636,50,"28,017"
이한선, 와아 어떨지 궁금하네요,2021_'대세'라이브커머스_다판다,2021-12-20_050636,50,"28,017"
이한선, 좋아보여요,2021_'대세'라이브커머스_다판다,2021-12-20_050636,50,"28,017"
kak, 구성 좋네요,2021_'대세'라이브커머스_다판다,2021-12-20_050700,53,"29,492"
kak, 가격도 좋아요,2021_'대세'라이브커머스_다판다,2021-12-20_050700,53,"29,492"
fine, 다판다요,2021_'대세'라이브커머스_다판다,2021-12-20_050700,53,"29,492"
whdrnr, 다판다눈모지,2021_'대세'라이브커머스_다판다,2021-12-20_050700,53,"29,492"
sky, 좋아요,2021_'대세'라이브커머스_다판다,2021-12-20_050726,53,"30,917"
hon, 오~,2021_'대세'라이브커머스_다판다,2021-12-20_050752,91,"32,279"
toyuheeyeol, 안녕하세요,2021_'대세'라이브커머스_다판다,2021-12-20_050752,91,"32,279"
toyuheeyeol, 대세 라이브 커머스 방송 잘 볼게요,2021_'대세'라이브커머스_다판다,2021-12-20_050752,91,"32,279"
iop, 답이뭐에요?,2021_'대세'라이브커머스_다판다,2021-12-20_050752,91,"32,279"
jin, 대세,2021_'대세'라이브커머스_다판다,2021-12-20_050819,91,"33,609"
rome582, 반가워요,2021_'대세'라이브커머스_다판다,2021-12-20_050845,92,"34,890"
rome582, ㅎㅎㅎㅎㅎㅎ,2021_'대세'라이브커머스_다판다,2021-12-20_050845,92,"34,890"
sexy486csy, 안녕하세요,2021_'대세'라이브커머스_다판다,2021-12-20_050845,92,"34,890"
sexy486csy, 라이브커머스,2021_'대세'라이브커머스_다판다,2021-12-20_050845,92,"34,890"
sexy486csy, 정말 다 파네요,2021_'대세'라이브커머스_다판다,2021-12-20_050845,92,"34,890"
꾸주임, 안녕하세요,2021_'대세'라이브커머스_다판다,2021-12-20_050911,92,"36,206"
꾸주임, 대세 라이브에,2021_'대세'라이브커머스_다판다,2021-12-20_050911,92,"36,206"
꾸주임, 정말 다 파는 상품 나왔네요,2021_'대세'라이브커머스_다판다,2021-12-20_050911,92,"36,206"
우아한고슴도치, 아토피 힘들죠~~,2021_'대세'라이브커머스_다판다,2021-12-20_050911,92,"36,206"
iop, 답좀알려주세요,2021_'대세'라이브커머스_다판다,2021-12-20_050911,92,"36,206"
sayers, 👍👍👍👍👍👍,2021_'대세'라이브커머스_다판다,2021-12-20_051003,97,"38,927"
songglass, 진짜 별거별거 다파네요~,2021_'대세'라이브커머스_다판다,2021-12-20_051003,97,"38,927"
songglass, 종류가 다양하네요~,2021_'대세'라이브커머스_다판다,2021-12-20_051003,97,"38,927"
yoonwest, 오 좋네여,2021_'대세'라이브커머스_다판다,2021-12-20_051029,97,"40,184"
승키, 정답?,2021_'대세'라이브커머스_다판다,2021-12-20_051055,97,"41,401"
ksu, 없는게 없네요,2021_'대세'라이브커머스_다판다,2021-12-20_051055,97,"41,401"
nhj, 안녕하세요~~~,2021_'대세'라이브커머스_다판다,2021-12-20_051121,97,"42,631"
렝, 우와 좋아요,2021_'대세'라이브커머스_다판다,2021-12-20_051121,97,"42,631"
yoonwest, 오호,2021_'대세'라이브커머스_다판다,2021-12-20_051121,97,"42,631"
렝, 우와 대박 👍,2021_'대세'라이브커머스_다판다,2021-12-20_051121,97,"42,631"
우아한고슴도치, 맛이 어떤지 아이들도 마시기좋은지,2021_'대세'라이브커머스_다판다,2021-12-20_051147,97,"43,754"
jin, 캐시답뭔가요?,2021_'대세'라이브커머스_다판다,2021-12-20_051147,97,"43,754"
iop, 정답은 대세,2021_'대세'라이브커머스_다판다,2021-12-20_051240,98,"46,153"
노노, 안녕하세요,2021_'대세'라이브커머스_다판다,2021-12-20_051240,98,"46,153"
진주또리, 와우.. 가성비 짱이네요..,2021_'대세'라이브커머스_다판다,2021-12-20_051240,98,"46,153"
lov, 대세,2021_'대세'라이브커머스_다판다,2021-12-20_051240,98,"46,153"
syyon6138, 대세,2021_'대세'라이브커머스_다판다,2021-12-20_051307,98,"47,483"
진주또리, 너무 마음에 들어요.,2021_'대세'라이브커머스_다판다,2021-12-20_051307,98,"47,483"
syyon6138, 대세,2021_'대세'라이브커머스_다판다,2021-12-20_051307,98,"47,483"
syyon6138, 안녕하세용..,2021_'대세'라이브커머스_다판다,2021-12-20_051307,98,"47,483"
syyon6138, 대세..,2021_'대세'라이브커머스_다판다,2021-12-20_051307,98,"47,483"
ibs, 😊😊😊😊😊😊😊😚😊😊😚😊😉😇😇😇😊,2021_'대세'라이브커머스_다판다,2021-12-20_051333,98,"48,592"
ibs, ^^,2021_'대세'라이브커머스_다판다,2021-12-20_051333,98,"48,592"
수풀소녀, 반갑습니다,2021_'대세'라이브커머스_다판다,2021-12-20_051450,122,"51,733"
양지언덕, 반갑습니다,2021_'대세'라이브커머스_다판다,2021-12-20_051542,122,"53,982"
ope, 굿,2021_'대세'라이브커머스_다판다,2021-12-20_051634,122,"56,065"
yki, 반갑습니다,2021_'대세'라이브커머스_다판다,2021-12-20_051700,124,"57,076"
바할, 반가워요,2021_'대세'라이브커머스_다판다,2021-12-20_051750,124,"58,874"
로딕잉, 네 반갑습니다 ㅎ,2021_'대세'라이브커머스_다판다,2021-12-20_051750,124,"58,874"
lee, 기대해요,2021_'대세'라이브커머스_다판다,2021-12-20_051750,124,"58,874"
상신, 건강식품이군요,2021_'대세'라이브커머스_다판다,2021-12-20_051816,124,"59,849"
ke1, 반갑습니다,2021_'대세'라이브커머스_다판다,2021-12-20_051908,125,"61,854"
jsd, 반가워요,2021_'대세'라이브커머스_다판다,2021-12-20_051934,129,"62,765"
P P, 기대됩니당,2021_'대세'라이브커머스_다판다,2021-12-20_052053,130,"65,386"
붕어삼국지, 반갑습니다,2021_'대세'라이브커머스_다판다,2021-12-20_052119,130,"66,241"
코난, 다판다?,2021_'대세'라이브커머스_다판다,2021-12-20_052211,130,"68,190"
코난, 반가워요,2021_'대세'라이브커머스_다판다,2021-12-20_052237,130,"69,028"
아리스타, 오,2021_'대세'라이브커머스_다판다,2021-12-20_052237,130,"69,028"
빛고을 비타민 KIA, 대전 다판다 짱,2021_'대세'라이브커머스_다판다,2021-12-20_052237,130,"69,028"
rtr, 굿,2021_'대세'라이브커머스_다판다,2021-12-20_052237,130,"69,028"
코난, 라이브커머스,2021_'대세'라이브커머스_다판다,2021-12-20_052237,130,"69,028"
jsd, 정답은요?,2021_'대세'라이브커머스_다판다,2021-12-20_052303,130,"69,826"
코난, 👍👍👍👍,2021_'대세'라이브커머스_다판다,2021-12-20_052303,130,"69,826"
