id,comment,program,time,love,play
이유주, 구매각입니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
soo, 좋아요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
sinsun, 바이바이,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
yms, 싱싱해서 좋네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
yur, 제품이 큼직하니좋네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
sky, 정말 싱싱해보이네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
쀼쀼, 잘보고가요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
adg, 두툼해서 좋네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
바우아빠, 좋아요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
palemoon, 연어 굳굳,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
하이러그, 맛있겠네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
낫짱, ㅎㅎㅎ,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
맑은누리, 잘 보았어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
낫짱, 오오,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
하이러그, 잘 보고 갑니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
sltkehf, 연어 때깔도 좋네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
cbh봉화니, 잘봤습니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
시그니처, 입에서 살살ㄹ 녹겠엉,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
자갈치, 지금 완전 기대됩니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
낫짱, 대박,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
맑은누리, 배고파요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
도토리토리, 잘 봤어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
영이, 방송 잘 보고 갑니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
캐시, 수고하셨습니당~,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
Imma, ㅂㅇㅂㅇ~,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
슝슝, 수고하셨어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
시그니처, 연어 때깔 좋아요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
heg, 상태 정말 좋아보여요 맛나보임,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
은하수방랑자, 고기 먹고싶어지네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
바람이불어오는곳, 추천해요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
달, 잘 보고 갑니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
cre, 어우 연어 넘 좋아합니다 맛나요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
쟤시켜알바, 수고하셨어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
딩구리, 연말엔 연어랑,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
이그리트, 수고 많으셨어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
sltkehf, 연어가 통통해서 너무 좋은듯하네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
나노미, 대박,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
네잎클로버, ㅂㅇㅂㅇ,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
dune0528, 구입했네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
kbo, 추천해요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
daeruyk, 구성 좋네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
꼬꼬, 잘보고갑니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
rla, 잘보고가요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
heaven, 방송 잘봐썽요~,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
Milk Tea, 잘보고갑니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
daeruyk, 구매해야겠어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
나는지금, 맛나겠당,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
슝슝, 방송 잘 보았어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
하드코어, 부드러울거같아요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
ghc, 잘보고갑니다 수고하세요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
경국지색, 잘 봤어요요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
크루니, 아주 맛있겠당,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
시니컬, 앗 아쉬비요 ㅎ,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
행복한로코바, 수고하셨습니다^^,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
뽀까, 수고하셨어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
피그말리온, 잘보고가요대박나세요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
찌니찌니, 추천해요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
나노미, 좋았어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
슝슝, 연어필렛,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
daeruyk, 연어 좋아하는데 구매각입니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
jelsexy, 수고하셨습니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
불사조, 잘봤습니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
papa9936, 고생하셨습니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
슝슝, 스테이크,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
환영사랑해, 방송 잘 봤어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
꼬꼬, 또만나요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
앉으나서나, 저렴하게 구매하고 가요~,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
레인보우, 수고하셨습니다 연어는 늘 맛있죠,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
sim, 잘봤어요^^,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
정남이, 연어 부드러워보여요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
외로운 까마귀, 방송 잘봤습니다. 수고하셨습니다.,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
말장수, 방송 잘봤어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
dnd, 잘봤어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
inn, 좋아요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
이종석, 우와 진짜 맛나겠어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
이네, 굿,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
ven, 야채 넣어서 해먹어봐야겠어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
뱃놀이가자, 슈고,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
ssl, 잘보고가요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
의자, 팔도유람 오늘도 좋은방송,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
dnd, 수고하셨습니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
말장수, 잘보고 갑니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
지완이모, 잘 봤어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
도토리토리, 잘봤어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
mini, 잘봤어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
데스낫, 오,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
bon, 수고하셨습니다,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
뱃놀이가자, 잘봤슈,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
캐시, 대박 나세요~ 응원해요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
뽀까, 잘봤어요~,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
지란지교, 연어가 부드럽고 진짜진짜 맛있어요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
나무늘보, 저렴하네요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
포천촌놈, 호,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
곤, 음,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
홈런, 바이,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
여시토끼, 와 연어 필레,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
탱글, 맛나보여요,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
무화과하마, 수고하셨엉,2시_제철따라_팔도유람_-_연어필렛,2021-12-20_050124,"1,226","10,621"
