id,comment,program,time,love,play
stear77, 모자세트? 저렴하고 판다귀엽네요 대박템이네요,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
반디s, 유니콘 톡톡으로 보냈어요,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
mis, 지금 바지 크게 나왔나요,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
stear77, 호피는언제쯤올까요? 딸아이가 호피좋아해서~,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
stear77, 치타 라고 엄청좋아해요~~,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
stear77, 땡땡이리본바지 저번에산것 금요일와서~ 주말동안 입고 안벗었어요 ㅋ 신랑이더이쁘다고,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
stear77, 추천해서 샀는데 대박이뻐요,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
stear77, 별5점 리뷰 사진올렸어요 사은품 모자쓰구 ㅋ,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
반디s, 이뻐요,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
she, 너어무 이쁘네요,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
콩이, 러블리버튼 키90안되는데 100해도 괜찮을까요? 몸무게는 13.3키로 됩니당,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
콩이, 크리스마스때 입힐려고용 ! ㅎㅎ 아 지금이90인가용,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
콩이, 감사합니다🥰,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
요술공주, 퀴즈할려고? 그런거 아닐까요 ㅎㅅㅅ,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
반디s, 인증하세요 삔 이뻐요,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
mis, 모자 안달린 패딩조끼는 없는거죠,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
올라, 2021122047734141 귀염뽀작 2대 구매 했어요 😍,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
올라, 아까 꾸꾸예요 ㅎㅎ,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
올라, 아까 꾸꾸예요 ㅎㅎ,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
소니맘, 저거 쎄뚜예요♡ 예뻐요 ㅋ,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
mis, 편안하게 실내에서도 입을수 있는거 찾아요,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
올라, 설명 잘해주셔서 잘 구매 했습니다^^,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
올라, 남자아이라 핀이^^,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
mis, 옷이 미워서가 아니라,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
mis, 갠적으로는 지금 그스탈이 제 스탈인데 ㅋ,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
mis, 조카줄거라,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
피치페릴, 2개 구매용~,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
올라, 넘 다 이뻐서 한참고민했네요 ^^;,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
mis, 울딸이었으면 그거 벌써 샀어요 ㅎ,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
피치페릴, 일하면서 틈틈히 보는중이에요 ㅎㅎ,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044220,"3,508","1,442"
조이, 야광이요 사이즈고민이요 97에13키로에요,UNMe_Kids🌹10원_EVENT👏신상_Sale,2021-12-20_044246,"3,528","1,447"
