id,comment,program,time,love,play
별사랑, 안녕하세요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_045638,21,"1,664"
헤노니, 수육 대박이에욤ㅎ,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_045704,21,"1,676"
베로니카, 수육 먹고싶네요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_045704,21,"1,676"
별사랑, 좋아요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_045756,68,"1,685"
v소피아v, 14팩 구매하면 2팩 더 주는거죠?,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_045756,68,"1,685"
하기스, 반갑습니다,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_045847,96,"1,701"
하기스, 먹고싶네요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_045939,96,"1,719"
베로니카, 주문했어요~아이들 방학때 반찬 걱정 없겠어요ㅎㅎ,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_050428,143,"1,771"
하기스, 맛이 있겠어요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_050428,143,"1,771"
블랑드, 우앙 곰탕😍,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_050428,143,"1,771"
헤노니, 엄청나네오ㅜ,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_050428,143,"1,771"
베이비, 오 오늘은 1팩 증정 이벤트네요?,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_050454,158,"1,777"
헤노니, 맛있게드시네요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_050520,158,"1,781"
베이비, 매번 사먹구 있는 곰탕 오늘도 쟁이러갑니동,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_050520,158,"1,781"
베이비, ㅋㅋㅋㅋㅋ두분 정말 찐으로 맛있게 드시네용,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
베이비, 헤노니님 안녕하세용,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
헤노니, 오랜만에 오셨네요 ㅎㅎ안녕하세용,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
헤노니, 먹방유튜버 도전해보세요 남자분,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
별사랑, 좋아요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
헤노니, ㅋㅋㅋㅋㅋ너무 욱김ㅋㅋㅋ,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
별사랑, 좋아요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
anihs, 이거 어떻게 사요?,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
anihs, 라이브 첨이라....,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
anihs, 감사합니다^^,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
v소피아v, 수육 10팩 구매했어요 ㅎ,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
우아, 곰탕은 무조건  24000이상 무료배송인가요? 수육섞은 금액은 안되고요?,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
우아, 섞으니까 24넘어도  배송료가 붙는데요?,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
별사랑, 좋아요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
별사랑, 좋아요,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
해피, 안녕하세요. 곰탕 7팩 장바구니에 넣으면 알아서 1팩 더 주시는 건가요?,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_054850,434,"2,154"
해피, 구입했어요~~,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_055153,434,"2,165"
해피, 곰탕 7팩에 수육 4팩 구매했어용~~,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_055219,434,"2,166"
해피, 수고 많으셨어용~~,"[1팩_3,500원]_🐮한우100%_진한_곰탕_7+1",2021-12-20_055245,434,"2,167"
