id,comment,program,time,love,play
성탄절, 감사해요🤩,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
테스언니, 2021122050280821🧡라방보면서바로구매완료!! 파운드케익으로 행복한 연말연시 맞이하러 가즈아!!! 🥕🍰🥕당근과자점 완판응원합니다💙,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
냥집사, 오오오오.....!!,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
uni, 2021122050375641구매인증♡♡,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
워니, 2021122050365151 저요저요,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
미래, 당첨되본적이 없어요. ㅋㅋㅋ,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
장원철, 하트 만개됐어요,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
가나다라마바사, 아이들과 맛있게 잘먹을께요~~^^,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
fly, 2021122050513321 구매했어요,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
다윰, 크리스마스에 딱이네요☆,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
hye, 굿,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
성탄절, 성탄절에 먹을께요🎅,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
워니, 2021122050365151 구매했어요,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
pmk, 조기품절되겠어요~,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
워니, 2021122050365151 구매했어요♥️,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
쪼꼬미엄마, 구매번호 2021122050609401,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
uni, 쵸코 가즈아~~~,[K-MAS라이브]🎅_2천원의_행복_수제_파운드_케익,2021-12-20_062023,"11,861","10,991"
