id,comment,program,time,love,play
상냥한미라씨, 영문 니트 보고파요,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
luvmm0816, 쩡이님 찌찌뽕😄🤣🤣,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
달빛Jeenee, 오 👍,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 우와 따뜻하겠어요~~,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
상냥한미라씨, 애쉬 뽀글 니트~ 보고파요 ㅠ 킁ㅋㅋ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
luvmm0816, 패딩이뿌네용~,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 시간이 맞아서 좋아요^^,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
잎새, 선택장애ㅜ 검정! 베이지!,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
lovelka01, 카라접을수도있는가요?,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
달빛Jeenee, 알바님 하이요,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 지니님~~~ 먼저 와 계셨네요~~,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
달빛Jeenee, 헤헤,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
도도, 베이지도 입어봐주세용,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 베이지도 묻따말 이쁠듯,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 아하 입어보셨구나^^,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 오오 딩동댕! ㅋㅋ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
달빛Jeenee, 베이지 너무 이쁘다,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
luvmm0816, 속안감이 뭐예용?뽀글털인가요?,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 요즘 왜이렇게 크림색에 꽃혔는지 아주 미치겠어요 아이보리만 보면,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
luvmm0816, 오 좋눼요 ~,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 무의식중에 세뇌 당했나요 ㅋㅋ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
달빛Jeenee, 저두요 알바님 ㅠㅠ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
별이, 국내제작인가요?,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
달빛Jeenee, 청바지랑 입으면 너무 예쁠듯,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 지니님두요?? 그럼 이건 대표님탓이다요 ㅎㅎ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
달빛Jeenee, ㅎㅎㅎㅎㅎㅎㅎㅎ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
luvmm0816, 대표님은 아이보리좋아하셔서 ㅋㅋ색고르면 무조건 아이보리 고르시니깐 ㅋㅋ저도세뇌당한듯요 ㅋㅋㅋ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 와 0816님두요??,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, ㅋㅋㅋㅋㅋ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
재시켜알바, 대표님 따라 우리 모두 아이보리행❤️,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
채채엄마, 진청인가요?,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050705,47,"1,885"
모모, 뒷모습도 뵈주세요,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050731,47,"1,904"
luvmm0816, 알바님🤣🤣🤣우리세뇌당해쓰용ㅋㅋㅋ무조건 아이보리 ㅋㅋ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050731,47,"1,904"
재시켜알바, 어머머머 저 뒷 배경도 아이보리네😍,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050731,47,"1,904"
Lovely young, 프렌즈라벨청난방이랑 비교해서좀입어바주세용~♡,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050757,47,"1,926"
하기스, 반갑습니다,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050757,47,"1,926"
hj0, 청바지는 스판 인가요?,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050757,47,"1,926"
모모, 대표님 안냐새요,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050757,47,"1,926"
재시켜알바, 뒷 배경도 너무 이뻐 장바구니에 넣어주세요 ㅎㅎ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050757,47,"1,926"
모모, 뒷모습도요,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050757,47,"1,926"
luvmm0816, 대표님 집에도 올화이트 ㅋㅋㅋ,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050823,47,"1,952"
지방사는 지방시, 오랜만이예요 ^^,[모노타임]_12_20_신상_입어보기_2부,2021-12-20_050823,47,"1,952"
