id,comment,program,time,love,play
블루문, 대박이에요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
roo, 우와우 대박나세요 !!,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
G CASTLE, 괜찮네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
herlange, 가격좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
herlange, 혜택좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
겨울 태양, 가성비 너무 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
둥이, 가격 좋습니당,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
수호다크, 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
마로화야, 노트북이냐 일체형이나 고민이네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
송정민, i7버젼 구매했어요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
오드리, 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
1bubble, 가격 괜찮아보이네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
비제이, 질렀습니다ㅜㅋㅋ 영업끝내주네요 ㅋㅋ,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
salute, 올인원 좋다,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
salute, 일체형 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
베론님, 올인원 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
앙뇽, 가격 대박!!,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
초콜릿, 디자인 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
앙뇽, 디자인도 넘 깔끔하네용~~,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
뽕치, 정말 좋아보여요!!,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
bb, 올인원 너무 좋네요 ㅋㅋ,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
ㅇㅇ, 와 올인원이라 깔끔하고 넘 좋네용,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
tp443, 개인용으로 쓸려고하는게 가격괜찮네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
조커츄, 올인원 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
달빛아래, 혜택좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
복덩이 마차도, 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
jdl, 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
달빛아래, 가격도 좋고,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
ahk, 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
dan, 굿,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
늘푸른나무, 맘에들어요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
안성민, 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
benedettoro, 올인원 대박,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
별사랑, 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
보랏빛 이슬, 혜택 조으네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
박성모, 와 가격도 좋고 좋아보여요 굿,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
늘푸른나무, 혜택좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
달빛아래, 올인원좋지요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
tmm, 삼성꺼라 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
늘푸른나무, 삼성이라 믿음가요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
xix755, 삼성인데 가격괜찮네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
서니5, 혜택이 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
useline, 삼성이라 긍가 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
김소연, 굿,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
쉰들러스나이퍼, 굿,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
시크릿요요, 굿,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
엔탑, 좋아보여요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
오트밀, 라이브 혜택 좋다,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
tor, 혜택좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
kkt, 좋아보여요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
pany, 혜택 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
rew, 좋아보여요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
시아, 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
엔탑, 좋아보여요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
soh, 라방계획은 또 언제 있나요?,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
kkt, 좋아보여요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
아멜리아, 피씨 넘 좋아보여요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
nan, 올인원pc 자리차지도 없고,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
Immimimi, 너무좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
nan, 편할것같아용,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
Immimimi, 구성 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
뭉무이, 12개월무이자 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
둥이, 좋으네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
앗싸궁리, 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
코알라, 와 가격 정말 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
tm4, 화면크기도 좋은듯,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
날개, 우오 할부좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
코알라, 할부도 길어서 좋아요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
rkw," 스토어찜,장바구니 할인 방법 좀 알려주시겠어요?",[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
써니, 우아 너무 좋아여,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
no1yunji, 오오 저렴하네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
여우002, 가격 헤택이 아주 대박이네요 ㄷㄷㄷㄷ,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
하늘생각, 컴알못이라 i7과i5으로 비교중인데요. 고등학생 인강용과 가족용으로 쓸껀데 어느것 추천하시나요?참고로 게임은 안해요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
모아 모아, 무이자 좋네요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
콩서방, 와우혜택,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
byeol, 디자인 넘 예뻐요,[올인원PC]_삼성과_함께_방구석크리스마스_LIVE,2021-12-20_062717,"82,148","2,700"
