id,comment,program,time,love,play
pyha9733, 빈봉지 쓰레기통 뒤져보니 톤업핏 맞네요 제가 착각했어요 성인여성 일반얼굴사이즈 중형사이즈입니다 완전편함 하루종일착용해도 귀 1도안아픔,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
pri, 친절한설명좋아요^^,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
gd24748, 블랙라벨 위엣줄은 Kf 기능 없는 거에요?,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
미운오리달새롬," 좀전에 KF94 대형세트와 핸드워시,클렌증워터 구매했어요",[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
미운오리달새롬, 옵션 추가해서 선물하기가 안되서 일반 구매하기해요,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
pyha9733, 구매완료요,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
mmmmmmmm, 대형도 써주세요!!,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
만지, 여자인데 얼굴이 긴 편이면 대형이 괜찮을까요?,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
mmmmmmmm, 오오 토프브라운도 써주세여!,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
안녕, 남자는 대부분 대형을 많이 사용 하나요?? 남편 사주려고요!!,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
min, 토프브라운 진짜예쁘네요~~~ 👍,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
hsy02, 짐 하신 컬러가 토프브라운인가요??,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
안녕, 25+25구성 5.5만원이 이벤트 가격 맞나용??,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
뿌앵뿌앵, 좋아요 멋져요 ㅋㅋ,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
미운오리달새롬, 저도 대형 착용하는데 가끔 x로 해서 사용할 때 있어요,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
뿌앵뿌앵, 사회자분 미인이시다,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
mmmmmmmm, 브라운 잘 어울리시네여,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
mmmmmmmm, 미인!,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
안녕, 네이비 한번 써주세요 ㅠㅠ,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
미운오리달새롬, 내일부터는 어떤 구성성품이 나올지 기대되네뇨,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
zz, 대형한버누착용해주세여,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
min, 그레이도 착용해주세요~!,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
새우깡깡, 대형 한번만 더 착용해주세용,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
새우깡깡, 베이지여!,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
cool578, 퓨어k94화이트50매에얼마인가요,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
새우깡깡, 감사합니당~,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
라라라, 토프브라운 완전 예뻐요. 벌써 3번째 재구매합니다.ㅎㅎ 피부도 안 뒤집어지지만 코도 안내려가요.,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
cool578, 50매구매하면 덴탈마스크도오나요,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
정뽀, 썬크림 말구 마스크 더 주심 안되나요?,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
지윤, 저도 웜톤이라서요 ~! 그냥 톤업핏이랑 블랙라벨 톤업핏이랑 색상 비교 해주실 수 있나요 ~? ㅎㅎ,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_055733,"1,505","1,797"
채쿄, 라지 한번만 써주세용,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_060427,"1,509","1,903"
채쿄, 여성인데 사이즈가.넘 클까 싶어서요,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_060427,"1,509","1,903"
채쿄, 상세한 비교 감사합니다♡,[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_060635,"1,518","1,929"
채쿄, 미듐 가야겠네요 :),[참존본사]1+1_블랙라벨_KF94_최초구성_14-16,2021-12-20_061144,"1,518","2,011"
