id,comment,program,time,love,play
자가격리만3번째, 이야👍,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
유쾌비빔밥, 간편하네요,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, 정말 이쁘네요,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
박광용, 아내에게 크리스마스 선물로 주려고 해요 어떤게 좋을까요,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
유쾌비빔밥, 스트랩까지!,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
라푼젤, 은은한 불빛이~,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
귀여운젤리곰, 쉽고 간편한 사용방법,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, 와우,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, 다요ㅎ,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, ㅋㅋ,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
라푼젤, 삼시세끼 밥하는 주부에겐 도마살균기!,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, 칼도마 살균기,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
라푼젤, 🤣,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
박광용, 아하,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
귀여운젤리곰, 칼도마살균기 넘 좋죠,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, 그냥 다사주세요♡,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
유쾌비빔밥, 주부 입장으로선 살균기 강추,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
유쾌비빔밥, 다 사주면 최고,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
박광용, 공청기 사려고왔는데 다른것도 신기하네요~,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, ㅋㅋ,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, 와이프방ㅎㅎ,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
귀여운젤리곰, 하츠 있으면 집콕하기 즐거워지겠어요,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, 각방이요?,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, 각방은 자가격리때만!!!!,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
귀여운젤리곰, 칫솔살균기 직장 상사한테 선물하면 이쁨받을듯,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
라푼젤, 간편 세상 간편~,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
박광용, 강아지를 키우고 있는데 강아지 용품 살균해도 되나요?,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
라푼젤, 칫솔까지~,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
화이팅, 칫솔에 세균이 정말 많다고 하던데 휴대하면서 가지고 다니면 좋겠네요,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
자가격리만3번째, 오~~~~~~♡,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044214,"4,135","5,529"
유쾌비빔밥, 하츠는 디자인을 어쩜 이렇게 잘 만들어요? 이뻐요~~~,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044240,"4,205","5,536"
자가격리만3번째, ㅋㅋ,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044240,"4,205","5,536"
자가격리만3번째, 소독중이심ㅎㅎ,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044240,"4,205","5,536"
귀여운젤리곰, 요즘 같은 시국에 필요한 제품,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044240,"4,205","5,536"
유쾌비빔밥, 인싸템! 필수템!,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044305,"4,234","5,539"
라푼젤, 모든걸 다 깨끗하게 소독케어~,[하츠]_🎁크리스마스_LIVE_특가🎁_공기청정기,2021-12-20_044305,"4,234","5,539"
