id,comment,program,time,love,play
재즈천사, 또 사이즈 미스일까요?,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 안녕하세요~ 언제나 친절하게 답변해주시는 사장님🥰😍😘,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
인맥앤소맥, 방송  못들으니  답답..... ㅠㅠㅠㅠㅠㅠ,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
인맥앤소맥, 언니얼굴만보고있네여...,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
재즈천사, 2부는 1부와 다른제품들인가요,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
러브카타리나, 사장님. 여러개주문함 합배되나요?,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
재즈천사, 그 그레이코트?,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
재즈천사, 박시코트 입고싶은데ㅋㅋ,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 하트 누르며 기둘리는 중,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 이거 옆지퍼 바지인가요???😄😄😄,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
026, 무겁진 안아요?,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 재질이 궁금요?,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 옆지퍼 앞지퍼보다 나은듯해욤 ㅎㅎ,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 넘나 감솨요~^^,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 힘드신데 ㅜㅜ,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 168 인데 괜츈???,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 따숩겠다요,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
인영, 셀린,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 와우 맘에 들어욤~~👍🏻👍🏻👍🏻👍🏻,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
돌돌맘, 66반은 m 해도 될까요?,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
sorry, 벨벳원피스총장만좀알려주세요,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 맞아요 어두움 ㅎ,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
sorry, 카라요,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
sorry, 반팔원피스,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
sorry, 사장님 키가몇이세요,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 네네 그럼 요아이 블랙으로 불량없는 착한 아이로 부탁드립니당~~~^^❤️❤️❤️,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 사장님 키 174,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 66반 골반 작으시면 엠 골반 있으면 77,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
인영, 이따 또 업뎃되면 같이 주문해야 겠어요,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
세일러문, 네네 톡톡으로 할께요,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
인영, 목걸이 품절되진 않겠죠?,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044708,799,"1,366"
026, 와 오늘저녁은 일찍오네요~ 기댜할께요,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044733,819,"1,371"
세일러문, 이런 바지 기둘렸는뎅 와우 넘나 쪼아요~~🥳🥳🥳🥳🥳🥳🥳🤎🤎,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_044942,819,"1,391"
세일러문, 요바지는 7:30분에 만나나요??,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_045007,819,"1,397"
세일러문, 레더 스커트만 있는데 레더 바지도 왕 찜,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_045033,819,"1,399"
세일러문, ❤️🧡💛💚💙🤎💜,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_045059,819,"1,406"
봉긋진, 네~~ 이따가도 봬요!!,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_045125,819,"1,410"
땐땐모찌, 돌려보께욧👋👋👋,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_045151,819,"1,419"
세일러문, 레더바지 고고고!!!! 레더바지 기대기대🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳,내일_뭐_입지_10%+5%+추가할인_1부,2021-12-20_045217,819,"1,428"
