id,comment,program,time,love,play
돼지바, 안녕하세요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_050547,191,"2,094"
날아올라, 안녕하세요^^,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_050547,191,"2,094"
디자이너 모니카, 안녕하세요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_050638,427,"2,398"
jjongzzang27, 몇시까지 라이브인가요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_050729,618,"2,704"
guy, 안녕하세영,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_050913,"1,113","3,245"
돼지바, 출산 13일 남아서 조리원갈때 입으려고 라이브 기다렸어요😆😆😆,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051005,"1,613","3,533"
wls, 지금 입고 계신 사이즈 궁금해요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051309,"2,403","4,238"
wls, 저랑 체격이 비슷하셔서 문의드려요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051335,"2,403","4,334"
zxc, 이쁘다,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051335,"2,403","4,334"
zxc, 예전에는 외국모델있어서 참고됐는데 이제는 말만하고 끝나니깐,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051425,"2,403","4,584"
wls, 빠른 답변 감사합니다^^,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051425,"2,403","4,584"
돼지바, ㅎㅎㅎ임신초부터 마더스베이비 브라 사서 잘입고 있어요👍👍👍👍👍,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051425,"2,403","4,584"
zxc, 모델이있어야지 쇼호스트만 말하면 뭐해,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051452,"2,545","4,689"
zxc, 햇던말 도돌이표,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051544,"2,657","4,918"
Sso0, 쇼호스트님이 설명을 잘해주셔서 모델이없어도 얼마나좋은지 참고가되네요!!!,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051544,"2,657","4,918"
wls, 앗 브라운은m품절이네요 ㅜㅜ 아쉽지만,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051544,"2,657","4,918"
jul, 브라운 ㅠㅠㅠ 품절이라니ㅠㅠㅠ,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051610,"2,725","5,036"
브스브, 모델없어도 쇼호스트님이 현실감있게 설명해줘서 실감나요ㅎ,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051636,"2,744","5,148"
zxc, 말하고 상품하고 틀린것도 많음 그래서모덜이있어야됨,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051636,"2,744","5,148"
브스브, 저 색깔별로 구매합니다 :),마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051702,"2,744","5,266"
Sso0, 모델없어도 설명으로 충분한걸요~~ 궁금하시면 구매해보시는게 좋을거같아요^^*,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051702,"2,744","5,266"
Sso0, 속옷은 역시 편한게 최고에요!!!,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051726,"2,744","5,392"
브스브, 마더스베이비는 믿고 구매해요. 제가 첫째부터 둘 째까지 쭈욱 입고있습니다. ^^,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051726,"2,744","5,392"
브스브, 히히,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051726,"2,744","5,392"
happy콩, 쪼이지 않고 편할꺼 같아욤~,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051844,"2,823","5,749"
바할, 좋네요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051937,"2,937","5,996"
VOS킴, 원터치 기능~~♡♡,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051937,"2,937","5,996"
lee, 좋네요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051937,"2,937","5,996"
con, 핑크밖에 없네요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051937,"2,937","5,996"
VOS킴, 너무 편해보이네요~^^,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051937,"2,937","5,996"
happy콩, 가운데 있어서 더 좋은거 같아욤,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051937,"2,937","5,996"
Sso0, 수유할때 너무 좋을거같아요!!!,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_051937,"2,937","5,996"
브스브, 힝 핑크도 품절되기전에 구매했어요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052003,"2,937","6,110"
브스브, 이때 안쟁이면 나중에 비싸지니까.ㅈ.,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052003,"2,937","6,110"
브스브, ㅜㅜ,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052003,"2,937","6,110"
반짝반짝, 내의 궁금해요 속옷이랑 같이 사려는데 품절될까 덜덜덜,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052029,"3,004","6,223"
VOS킴, 배부분 가까이에서 한번 부탁드릴께요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052121,"3,004","6,378"
돼지바, 나시 궁금했어요!!,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052147,"3,004","6,455"
돼지바, 팬티 진짜 편해요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052239,"3,261","6,613"
브스브, 계속 품절되네요ㅜㅜ,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052357,"3,634","6,888"
브스브, 핑크색 구매했어요 다른색도 구매하고싶어요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052424,"3,643","6,983"
브스브, 이가격 처음봐요,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052424,"3,643","6,983"
브스브, 저번주에 샀는데ㅜㅜ,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052424,"3,643","6,983"
돼지바, 나시 제일 궁금해오 ~~~!!!,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052542,"3,643","7,292"
돼지바, 건조기 돌려도 되나용???,마더스베이비_임산부_필수템_베스트10_연말_특가!,2021-12-20_052608,"3,757","7,401"
