id,comment,program,time,love,play
hyun jung, ㅎㅇ,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
sys, 지금 사이즈?,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
f1f, ㅎㅇㅇ,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
f1f, 와,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
nnyong, 좋아보여요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
비단향꽃무, 안녕하세요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
비단향꽃무, 좋아요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
hot, 좋아보여요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
ts1, ㅎㅎ 그런사람 없는데요 ㅎㅎㅎㅎ,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
르샤, 상품 썸네일에는 이마트상품권 만원증정이라고 되어있고 상세에는 라이브때 구매시 5천원 증정이라고 되어있는데 뭐가 맞나요??,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
텅장요정, ㅎㅎ,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
먼가하자, 안녕하세요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
먼가하자, 반갑습니다,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
먼가하자, 잘 볼게요 응원합니다,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
jjiin, 삼성,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
jjiin, 좋지요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
Kuhn, 좋네요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
투명망토, 우왕 좋다,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
galaxy1213, 오오 죠앙,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
galaxy1213, 잘볼께요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
ts1, 우우 ㅎㅎㅎㅎㅎㅎ,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
바램, 고급,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
바램, 잘볼께요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
blessing, 와 라방 혜택 굿,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
쏭쭌맘dldmsdo0, 완전 좋아요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
써니들맘, 요즘 스마트워치 대세라서 웬지 나도 사야할것만 같은,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
초코파이, 갖고싶다,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
ts1, 나만의 주치의,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
룰루루, 굿,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
skr, ㄱ매욕 뿜뿜,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051733,"8,407","2,206"
zelle, 와우,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051917,"8,507","2,236"
zelle, 예뻐요 너무,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051917,"8,507","2,236"
1i, 좋아요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_051917,"8,507","2,236"
soon9870, 라이브 좋아요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_052036,"8,507","2,258"
soon9870, 감사합니다,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_052036,"8,507","2,258"
P P, 이쁘당,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_052102,"8,507","2,263"
별사랑, 좋아요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_052548,"9,149","2,334"
soo, 혜택좋네요,삼성파트너_쇼마젠시의_쇼핑라이브,2021-12-20_052614,"9,190","2,341"
