id,comment,program,time,love,play
해피스마일, 와 멋지네요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
자가격리만3번째, 축하드려요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
단팥빵, 축하드려요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
어머님은짜장면대신밥, 모두들 추카추카드려요🥳🥳🥳🥳🥳,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
쟤시켜알바, 디자인 너무 이뻐요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
단팥빵, 우왕,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
어머님은짜장면대신밥, 예쁜 언니 저도 당첨되고싶네요~~,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
자가격리만3번째, 부럽네요♡,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
사각사각, 반짝반짝 너무 예쁘네요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
단팥빵, 네,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
lovemam, 크리스마스때 써볼래요~~,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
woq, 감사합니다~소통왕은 다른분께!,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
꽁냥꾸꾸, 모두축하드립니다~,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
해피스마일, 저두 선물받고 싶네요~~~,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
어머님은짜장면대신밥, 예쁜 언니 목 아프심 안되니께 물 드세요💗💖💌💟💝🍀🍀🌟💫⭐🥃🥃💙🤍❤🧡💜💚🤎💛⭐💫🌟👏👏👏👏👏,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
단팥빵, 언니 물좀드시면서 하세요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
해피스마일, 시리어스는 사랑이죠,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
단팥빵, 가격자체가 선물이죠,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
sin, ㅇㅇ,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
해피스마일, 맞아요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
해피스마일, 대량구매 대박이네요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
단팥빵, 시리어스는 사랑입니다,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
어머님은짜장면대신밥, 예쁜 언니 목 아프심 안되니께 물 드세요💗💖💌💟💝🍀🍀🌟💫⭐🥃🥃💙🤍❤🧡💜💚🤎💛⭐💫🌟친절한 설명 감사해요👏👏👏👏👏,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
mar, 우와,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
사각사각, 사용하고 만족하면 추천하게 되죠,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
lovemam, 톡톡메세지는 어떻게 보내나요?,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
해피스마일, 시리어스의 기술력이 대단한것 같아요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
단팥빵, 재구매율이 높은 이유가 있죠,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
단팥빵, 진짜 좋네요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
해피스마일, 셋트셋트 구성 넘 좋네요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
자가격리만3번째, 정말 가격이 선물이네요!!,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
어머님은짜장면대신밥, 🍀🍀시리어스는 산타네요🎅🤶🌟⭐💫💖💗💌💝💟💕🍀🍀🍀👍👍👍👍👍,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
꽁냥꾸꾸, 시리어스는 선물같은존재🎁네요~,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
단팥빵, 앞자리가 6번이나 바뀌었네,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
자가격리만3번째, 셋트가겨기 제일 멍이득이네요♡,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
해피스마일, 찐후기도 넘 좋네요,연말선물_고민끝!_시리어스와_함께_따뜻한_연말_보내세요,2021-12-20_050023,"10,097","8,753"
