id,comment,program,time,love,play
jin, 갈비 좋아요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽," 오큐 특가는 어디서도 볼 수 없다구요,,,",토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
금율, 지금 막 들어왔어요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
알롱지, 토마호크 고민하다 호스트님 말듣고 그냥 세트 시켰어요 ㅎㅎ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽," 63원 남긴다는 거 보고부터는 진짜 무조건 사요,,,ㅠ",토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
자갈치딸래미, 솔직히 말하면 집에서 우대갈비는 먹어보니 반컷팅이 편했어요 반컷팅도 많이 작지는 않더라구요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, 무조건 1000개 이상씩 팔아야함,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, ㅠㅜㅜㅜㅜ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
금율, 지금 막 들어왔어요 크기 궁금해요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, 너무햌ㅋㅋㅋㅋㅋㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
잘하자, 좋네요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, 이 조심해욬ㅋㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, ㅋㅋㅋㅋㅋㅋㅋ무슨일이얔ㅋㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, 하 진짴ㅋㅋㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
자갈치딸래미, 으리님 우대갈비 저 크기는 컷팅 안된크기에요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, 짭짤하겠구만,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, 크으으으,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, 크리스마스에는 음식잔치~~~~,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
금율, 토마호크 지금 보여주신게 몇그람짜리에요??,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
미뇽, 읽어도되는 내용이에요?ㅋㅋㅋㅋㅋㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
금율, 성인 남자 이거 하나면 될까요?,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
자갈치딸래미, 캠핑용 1250g 은 벌써 품절,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
짱짱짱임, 리뷰 작성할께요!!,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
윤명순, 좋아요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
윤명순, 완전 맛있겠어요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
윤명순, 먹고싶어요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
Bnew, 뼈 무게 도 포함인가요?,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
금율, 세트가 안보여서;;;,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
자갈치딸래미, 가격 왜 낮춰요 ㅋㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044223,"6,703","10,665"
자갈치딸래미, 난 세트 더 비싸게 주고샀구만 ㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044249,"6,703","10,677"
미뇽, ㅋㅋㅋㅋㅋㅋㅋㅋ..저렴할때 또 사면되니 뭐,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044314,"6,703","10,690"
미뇽, ㅋㅋㅋㅋㅋ그냥 만족쓰 중,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044339,"6,703","10,703"
sin, ㅇㅇ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044430,"6,703","10,728"
금율, 어떻게 요리해서 먹으면 제일 맛있어요~? 그냥 후라이팬에 구어도 될까요?,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044430,"6,703","10,728"
금율, 네,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044522,"6,729","10,766"
아침햇살, 2021122047955451 인증이오 선물해요,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044522,"6,729","10,766"
자갈치딸래미, 다시 해야지 ㅎ​,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044547,"6,812","10,780"
금율," 아, 다시보기 콜",토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044547,"6,812","10,780"
자갈치딸래미," 무 5cm 1토막배1개(무,배즙)​​진간장 7T매실청3T청주3T물 500ml​된장1T​물엿2T​생강,당근,표고버섯대추.밤,은행",토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044547,"6,812","10,780"
미뇽, 안녕~~~~,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044547,"6,812","10,780"
자갈치딸래미, 우대갈비 5쪽 기준 갈비찜 레시피,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044613,"6,813","10,796"
자갈치딸래미, 나한테 톡톡 어케해? ㅋㅋ,토마호크&우대갈비&포터하우스_스테이크로_연말_분위기🎉,2021-12-20_044637,"6,819","10,806"
