id,comment,program,time,love,play
쾌남시대, 겨울에 목만 잘 관리해도 체감온도에 정말 좋아요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
결이솔이아빠, 음.. .남성용품은 없는가보네용 ㅜㅜ,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 우아하게 잘어울려요~~~~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 그람수도다르는데 어떤차이가있을까요~?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
썬, 와인색 시현 부탁드립니다,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
gok, 색상도 다양하고.,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 캐시미어의 함유량일까요^?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
쾌남시대, 루돌프가 누워 있네요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
작두한웅, 색상이 너무 이뻐요~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
쾌남시대, 좀 깨워주세요 ㅋㅋ,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
쾌남시대, 지금 잘때가 아니라고,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 색상이 오히려 부드러워서 추운겨울에 따뜻하게 잘어울릴것같아요9,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
dal, 색상들 다 이뻐요🙊,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 그람수 차이도알려주세요~~~~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
조혜민, 색이 겨울에 잘맞아요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
zxc, 환경까지 생각한다니,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 한번 끼워놓으면 절대 빠지진않을까용~~~?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
gok, 원 사이즈 인가요?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
쾌남시대, 메이드 인 파리스인가요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
zxc, 정말 안 살수가 없겠네요ㆍ,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
쏭쏭쏭, 들어누운 루돌프도 귀여워유^^,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
작두한웅, 호스트님 너무 잘어울리세요~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 팀장님하신색상 넘나 화사해요☆☆ 겨울에잘어울릴거같아용♡,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
zxc, 색상이 너무 단아하고 예뻐요ㆍ,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
썬, 와인색 너무예뻐요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 저 그람수차이도 알려주세요 두가지종류인데~~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
쏭쏭쏭, 와인색 분위기 나네요~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
쾌남시대, 와인색이 이뿌메요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 몽골이라고하셔서 뭔가 더따뜻해보여용♡♡♡,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
쾌남시대, 징기스칸 목토기,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
psh, 와인색 크리스마스랑 잘 어울리네요^^,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051430,"2,993","2,238"
뚱이, 그럼 50g 70g은 길고짧은거인가요~~??,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051456,"2,994","2,302"
뚱이, 그냥 신경쓰지않고둘러도예쁘네요~~~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051523,"2,996","2,367"
썬, 귀요미,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051523,"2,996","2,367"
쾌남시대, 육남매 엄마,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051523,"2,996","2,367"
쾌남시대, 똑 사세요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051523,"2,996","2,367"
썬, 귀욤 폭발 ~~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051523,"2,996","2,367"
뚱이, ㅋㅋㅋㅋㅋㅋㄱㅋㄱ고급모자 장만하셨네요ㅋㅋ,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051549,"3,023","2,437"
작두한웅, 귀욤터짐~~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051549,"3,023","2,437"
Yoon, 감기약 모델같아요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051549,"3,023","2,437"
뚱이, 근데진짜 가볍고 따뜻하고 휴대하기편해서 최고인거같아요~~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051615,"3,049","2,457"
녹색연합 환경교사, 하나 구매해서 사용하고 있는데 또 구매원함요.,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051615,"3,049","2,457"
쾌남시대, 눈싸움 하시죠,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051615,"3,049","2,457"
뚱이, 목도리 캐시미어함유량 여쮜봐도될까용~~~????,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051615,"3,049","2,457"
녹색연합 환경교사, 없이는 올겨울 보내기 힘들어요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051641,"3,146","2,466"
뚱이, 활용하기 나름이네요~~~~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051641,"3,146","2,466"
뚱이, 베이지브라운 너무예뻐요♡♡♡ 고급스러워요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051641,"3,146","2,466"
nature1207, 넘 가볍고 좋아요 ! 할머니도 강추^^,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051706,"3,152","2,466"
oct, 캐시미어 머플러 예뻐요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051706,"3,152","2,466"
뚱이, 나중에 양말도 함께해주시면좋을거같아요❤,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051706,"3,152","2,466"
녹색연합 환경교사, 가볍고 따뜻하고,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051706,"3,152","2,466"
하이, 너무 예쁘네요~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051731,"3,152","2,471"
gok, 베이지색 예뻐요.,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051731,"3,152","2,471"
뚱이, 혹시 흰색넘 예쁜데 세탁어떻게하면될까요~~??,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051731,"3,152","2,471"
꿈아내, 너무 예뻐용~~~^^,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051731,"3,152","2,471"
꽁냥꾸꾸, 캐시미어라 믿고 목에 둘러도 따듯하겠어요~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051731,"3,152","2,471"
뚱이, 아하,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051757,"3,168","2,476"
썬, 남색계열도 있나요?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051757,"3,168","2,476"
뚱이, 어머나 자연적인 방법으로 만드시다니~ 감동이네요❤,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051757,"3,168","2,476"
oct, 몽골산 캐시미어 머플러 최고네요~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051823,"3,183","2,481"
뚱이, 캐시미어인데 이가격이면 좋은거같아요^~♡,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051823,"3,183","2,481"
gok, 일반 세탁 가능한가요?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051823,"3,183","2,481"
제갈도원, 너무 따듯하고 좋을것같아요^^,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051848,"3,298","2,486"
딸기우유, 요즘 날씨에 하면 딱일것같아요 ♡,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051848,"3,298","2,486"
뚱이, 가격적인 혜택과 만들어진방법도착해서 좋네요♡,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051848,"3,298","2,486"
psh, 베이지 주문완료^^,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051915,"3,336","2,489"
초코초코하다, 목돌이 귀여워요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051915,"3,336","2,489"
뚱이, 나중에 라방끝나고나서는 어디를찾아가면될까요~~~~??😄,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_051941,"3,458","2,493"
썬, 세탁은 언제 한번씩 하나요?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052033,"3,572","2,503"
뚱이, 캐시미어는 부드럽고 따뜻한게최고의장점이죠👍 코트도캐시미어를 선택하는데에는다이유가 있는데목도리라니 정말 매력적이예요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052033,"3,572","2,503"
뚱이, 우리엄마 손목 시리는데 손목토시 너무좋네요ㅜㅜㅜ,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052059,"3,593","2,508"
썬, 손목토시도 사이즈가 있나요?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052059,"3,593","2,508"
제갈도원, 부모님선물 드리면 좋을것같아요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052059,"3,593","2,508"
뚱이, 겨울에는 찬바람불때는 더 힘드신데 이제품좋네요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052125,"3,678","2,514"
뚱이, 사이즈는 따로없는거같은데 통통해도 괜찮을까요~~?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052151,"3,742","2,524"
뚱이, 아하ㅋㅋㅋㅋㅋㅋ늘어나는게좋네요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052151,"3,742","2,524"
딸기우유, 부들부들할 것 같아요~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052218,"3,970","2,532"
뚱이, 1988만물상회 찾아갈게요!!!!,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052244,"4,383","2,536"
꿈아내, 대표님짱~~~^^,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052244,"4,383","2,536"
뚱이, 정말좋은제품들이 많은거같아요❤대박,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052244,"4,383","2,536"
꿈아내, 바로 구매합니당♡♡♡,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052310,"4,755","2,540"
뚱이, 크리스마스산타세요~~~~~~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052310,"4,755","2,540"
oct, 1988 만물상회~~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052310,"4,755","2,540"
dal, 대표님 너무 멋있어요👍,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052310,"4,755","2,540"
dal, 제품 다 좋아보여요💛💛,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052336,"4,970","2,541"
뚱이, 소재도진짜 좋은걸쓰신거같아서 그리고 무엇보다 흔하게보는제품들이아닌데 합리적가격까지 좋아용,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052336,"4,970","2,541"
뚱이, 캐시미어인데 부드러울수밖에 없을거같아요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052402,"5,176","2,543"
제갈도원, 원하는 색상이 품절되었어요 ㅠㅠ 서둘러 주문했었어야 했는데...,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052402,"5,176","2,543"
썬, 남자들도 할 수 있나요?,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052402,"5,176","2,543"
Yoon, 머플러 너무 귀여워요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052428,"5,480","2,548"
뚱이, 아이들목에도 둘러줘도좋겠어요♡,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052428,"5,480","2,548"
뚱이, 늘어나는소재라 사이즈는 고민안해도될거같네용~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052454,"5,752","2,553"
gok, 주문했어요.,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052454,"5,752","2,553"
비비아리, 머플러. 베이지색 딱 제 스타일 이네요^^👌,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052454,"5,752","2,553"
청녹우림, 퀄리티 좋아 보여욤,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052520,"6,139","2,556"
gok, 따뜻한겨울 될것같아요.,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052520,"6,139","2,556"
딸기우유, 귀여워용,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052520,"6,139","2,556"
뚱이, 대표님 적게일하시교 많이버세요ㅠㅜㅜ,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052520,"6,139","2,556"
꽁냥꾸꾸, 대포,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052546,"6,433","2,556"
딸기우유, 컬러도 다 따뜻한 색감이네요~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052546,"6,433","2,556"
뚱이, 진짜 큐티해요----,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052546,"6,433","2,556"
고은성thinksky0204, 남자분들 사셨어요,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052546,"6,433","2,556"
청녹우림, 민오 G드래곤 태민이,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052612,"6,750","2,559"
청녹우림, 하면 이쁠 듯,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052612,"6,750","2,559"
뚱이, 착용하는방법에따라 다양한느낌도 연출할수있어좋네요~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052612,"6,750","2,559"
고은성thinksky0204, 남자분들 하셔도 돼요^^,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052638,"7,007","2,562"
꽁냥꾸꾸, 하나하나 세심하게 만들어주셔서 믿고사용할수있겠어요~,품질이_혜자!_블링블링_포근한_100%_캐시미어,2021-12-20_052638,"7,007","2,562"
